Dialogue,Timestamp,Case,instrument-label,instrument-pred,instrument-correct,action-label,action-pred,action-correct,tissue-label,tissue-pred,tissue-correct,cvid,valid,generated_feedback
is something holding the bladder back?,18:04:09,13,,,,,,,urinary_tract,urinary_tract,True,c13_s0_2-39-35.avi,True,Advance the needle driver and secure the suture precisely.
it really exposes the medial surface so you can find the SV,11:07:47,31,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c31_s0_1-33-16.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
its fine turn there,19:16:28,29,,,,rotate_turn,rotate_turn,True,,,,c29_s0_3-27-28.avi,True,Adjust the instrument angle for better visualization of the tissue.
"its ok, make the correction",16:41:56,8,None,None,True,,,,,,,c8_s0_1-9-37.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
its right in here...youre going outside of it,17:55:23,12,,,,,,,urinary_tract,urinary_tract,True,c12_s0_2-8-54.avi,True,Advance the needle driver carefully through the tissue.
its still bleeding,14:42:23,22,,,,,,,urinary_tract,urinary_tract,True,c22_s0_0-36-15.avi,True,Maintain steady traction and continue precise dissection.
its still bleeding  you gotta stop that thing,14:52:23,26,,,,interrupt_action,interrupt_action,True,prostate,prostate,True,c26_s0_0-37-2.avi,True,"instrument: bipolar forceps, action: cauterize, tissue: bleeding vessel"
"just a little bit towards the bladder, a touch",09:19:37,1,,,,,,,urinary_tract,urinary_tract,True,c1_s0_0-42-12.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
just buzz it,12:02:02,28,,,,coagulate,coagulate,True,,,,c28_s0_1-57-18.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"just drop it, just push against it so its at the apex, yup nice, I agree with you",14:47:12,15,,,,release_instrument,release_instrument,True,,,,c15_s0_0-38-15.avi,True,Maintain steady retraction for optimal exposure.
just get to the medial of it,09:46:48,21,,,,navigate_position,navigate_position,True,,,,c21_s0_1-1-35.avi,True,"Instrument: Fenestrated Bipolar Forceps, Action: Grasping, Tissue: Adipose"
just open up...,09:34:15,33,,,,open_spread,open_spread,True,,,,c33_s0_1-0-2.avi,True,"Instrument: Grasper, Action: Hold, Tissue: Adipose"
just remember to stay right on the surface of the adenoma,16:23:18,12,,,,,,,miscellaneous,miscellaneous,True,c12_s0_0-36-49.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
just the tip of your scissors okay?,14:49:51,26,surgical_scissors,surgical_scissors,True,,,,,,,c26_s0_0-34-30.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
just the vas,15:52:36,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c26_s0_1-37-15.avi,True,Adjust your grip for better control of the tissue.
just the vas okay?,15:52:34,26,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c26_s0_1-37-13.avi,True,"instrument: forceps, action: grasping, tissue: NaN"
leave it there,17:02:08,13,,,,release_instrument,release_instrument,True,,,,c13_s0_1-37-34.avi,True,"Instrument: ProGrasp Forceps, Action: Retract, Tissue: Adipose"
"left hand , that corner is always left hand",19:09:53,29,hand_control,hand_control,True,,,,,,,c29_s0_3-20-53.avi,True,Ensure precise needle placement and maintain tension on the suture.
left hand comes out,09:21:57,17,hand_control,hand_control,True,,,,,,,c17_s0_0-25-29.avi,True,"Instrument: ProGrasp Forceps, Action: Retract, Tissue: Adipose"
left hand towards left lower quadrant,09:04:30,17,hand_control,hand_control,True,,,,,,,c17_s0_0-8-2.avi,True,Dissect carefully along the tissue plane to maintain precision.
"let go of the needle, you need to be aware of where the suture is where the needle is, all that good stuff. lets go",17:00:20,22,suturing_tools,suturing_tools,True,,,,,,,c22_s0_2-54-12.avi,True,Ensure precise needle placement and maintain tension on the suture line.
"let go of what you have holding there, its just not effective retraction. hold the tissue a little closer to the vein",14:46:21,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c22_s0_0-40-13.avi,True,Maintain gentle traction and continue dissection around the tissue.
"let me just look at the prostate... left side ___ tissue, right side ___ tissue",11:48:38,5,,,,,,,prostate,prostate,True,c5_s0_1-46-42.avi,True,Ensure precise instrument positioning for optimal tissue manipulation.
lets find your catheter now,09:58:20,33,None,None,True,,,,,,,c33_s0_1-24-7.avi,True,Maintain steady pressure and ensure clear visualization of the tissue.
lets go,14:52:35,26,,,,,,,prostate,prostate,True,c26_s0_0-37-14.avi,True,"Instrument: Maryland Bipolar, Action: Dissect, Tissue: Peritoneum"
lets see if we can get the upper vein first,15:09:33,10,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c10_s0_0-58-55.avi,True,"Instrument: Maryland Bipolar Forceps, Action: Grasping, Tissue: Ureter"
lets travel on the bladder,19:09:08,29,,,,navigate_position,navigate_position,True,urinary_tract,urinary_tract,True,c29_s0_3-20-8.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
lift up with your right hand a little bit,09:22:08,17,hand_control,hand_control,True,,,,,,,c17_s0_0-25-40.avi,True,"Instrument: Prograsp forceps, Action: Retract, Tissue: Adipose tissue"
like if you grab the suture and pull it off screen its fine because the needle is floppy right?,10:26:22,16,suturing_tools,suturing_tools,True,,,,,,,c16_s0_1-31-26.avi,True,"instrument: Large Needle Driver, action: Suturing, tissue: Bladder"
"like you're, you're picking up your suture line.",18:11:00,12,suturing_tools,suturing_tools,True,,,,,,,c12_s0_2-24-31.avi,True,Ensure precise suture placement and maintain tension on the tissue.
"look at your controllers, you are too close to here, push them back a little bit",16:48:59,22,,,,inspect,inspect,True,,,,c22_s0_2-42-51.avi,True,Advance the needle driver carefully through the tissue.
look back by the port,16:14:08,32,,,,inspect,inspect,True,,,,c32_s0_1-6-22.avi,True,"instrument: grasper, action: retract, tissue: peritoneum"
look for gonadal and ureter,15:50:05,8,,,,,,,urinary_tract,urinary_tract,True,c8_s0_0-17-46.avi,True,"Continue with precise dissection, maintaining clear visualization of the tissue plane."
"look up, grab it with your fourth arm",10:06:54,16,auxiliary_arm,auxiliary_arm,True,grip_hold,grip_hold,True,,,,c16_s0_1-11-58.avi,True,"instrument: Large Needle Driver, action: Suture placement, tissue: Bladder neck"
"make sure you pull the stitch towards you, okay",16:25:32,18,suturing_tools,suturing_tools,True,,,,,,,c18_s0_1-53-27.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: Abdominal wall"
make sure you turn the needle out,17:52:59,12,suturing_tools,suturing_tools,True,rotate_turn,rotate_turn,True,,,,c12_s0_2-6-30.avi,True,Advance the needle driver to secure the suture on the tissue edge.
maybe try sweeping the vein over if you can?,16:09:51,32,,,,sweeping_maneuvers,sweeping_maneuvers,True,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c32_s0_1-2-5.avi,True,"Instrument: bipolar forceps, Action: dissecting, Tissue: peritoneum"
medial to the vein on the pubic ramus,16:39:38,29,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c29_s0_0-50-38.avi,True,"Instrument: Grasper, Action: Dissection, Tissue: Adipose"
mhm,09:35:25,33,None,None,True,,,,,,,c33_s0_1-1-12.avi,True,Maintain gentle traction on the tissue for optimal exposure.
more pressure on the left hand,09:00:37,17,hand_control,hand_control,True,,,,,,,c17_s0_0-4-9.avi,True,Continue with gentle dissection to maintain clear visualization of the tissue plane.
"no its going to get worse, lets go to other side",15:49:13,10,,,,navigate_position,navigate_position,True,,,,c10_s0_1-38-35.avi,True,Advance the instrument carefully to avoid excessive pressure on the tissue.
"no, don't bipolar it",09:49:26,24,energy_device,energy_device,True,,,,,,,c24_s0_0-44-56.avi,True,Ensure precise dissection and maintain clear visualization of the surgical field.
"no, just buzz it",14:14:54,3,,,,coagulate,coagulate,True,,,,c3_s0_0-9-51.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"no, open it right on that pearly white thing",14:28:52,3,,,,open_spread,open_spread,True,,,,c3_s0_0-23-49.avi,True,"Instrument: Bipolar forceps, Action: Coagulating, Tissue: Connective tissue"
"no, open the superficial layer first",16:58:16,14,,,,open_spread,open_spread,True,,,,c14_s0_1-58-20.avi,True,"Instrument: ProGrasp Forceps, Action: Grasping, Tissue: Adipose"
"no, so just get the tissue off the tip of the SV, that's it. stay right on the SV, you don't need to take more tissue than that",09:49:55,21,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c21_s0_1-4-42.avi,True,"Instrument: ProGrasp Forceps, Action: Grasping, Tissue: Adipose"
"no, that's too much... take that first, yeah",15:10:23,2,,,,grip_hold,grip_hold,True,,,,c2_s0_1-10-37.avi,True,Ensure precise instrument alignment for optimal tissue manipulation.
"no, you're going to have your SV's very soon if you do that",14:26:58,2,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c2_s0_0-27-12.avi,True,"instrument: grasper, action: retracting, tissue: connective"
"nothing too crazy, don't have to go into the prostate",12:06:33,28,,,,,,,prostate,prostate,True,c28_s0_2-1-49.avi,True,Advance the instrument gently to maintain clear visualization of the tissue.
"now buzz, sweep",16:08:15,32,,,,coagulate,coagulate,True,,,,c32_s0_1-0-29.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
now pull the stitch back,19:16:13,29,suturing_tools,suturing_tools,True,traction_retract,traction_retract,True,,,,c29_s0_3-27-13.avi,True,Maintain tension on the suture for optimal approximation.
now you're ready to grab it and just pull it through,18:00:01,30,,,,traction_retract,traction_retract,True,,,,c30_s0_3-16-35.avi,True,Ensure precise suture placement and maintain tension on the tissue.
now youre going to proceed lateral,15:42:50,10,,,,navigate_position,navigate_position,True,,,,c10_s0_1-32-12.avi,True,"instrument: grasper, action: retract, tissue: connective"
ok  stop,16:43:43,13,,,,interrupt_action,interrupt_action,True,,,,c13_s0_1-19-9.avi,True,"Instrument: Bipolar forceps, Action: Coagulating, Tissue: Adipose tissue"
ok keep working,15:35:44,22,None,None,True,,,,,,,c22_s0_1-29-36.avi,True,"Instrument: Fenestrated Bipolar Forceps, Action: Grasping, Tissue: Adipose"
ok now stop for a second,10:48:34,31,,,,interrupt_action,interrupt_action,True,,,,c31_s0_1-14-3.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
ok open that up,09:21:45,33,,,,open_spread,open_spread,True,,,,c33_s0_0-47-32.avi,True,Maintain gentle traction on the tissue for optimal dissection.
ok wait for a second,16:31:46,13,,,,interrupt_action,interrupt_action,True,,,,c13_s0_1-7-12.avi,True,Maintain gentle traction on the tissue for better visualization.
"ok, break one off and tie... leave the vicryl",12:25:25,11,suturing_tools,suturing_tools,True,,,,,,,c11_s1_0-16-56.avi,True,Adjust your grip and continue with precise dissection.
"ok, drop the foley hold the stitch up, straight up",17:01:54,13,suturing_tools,suturing_tools,True,release_instrument,release_instrument,True,,,,c13_s0_1-37-20.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
okay cut it,14:51:27,22,,,,cut_divide,cut_divide,True,,,,c22_s0_0-45-19.avi,True,Ensure precise instrument positioning for optimal tissue manipulation.
"okay great, i'll get the drain",10:37:25,16,,,,,,,None,None,True,c16_s0_1-42-29.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: NaN"
okay im going to test you,10:23:57,16,,,,,,,None,None,True,c16_s0_1-29-1.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: Bladder Neck"
okay that's not working... everything your poking you're just making more bleeding happen,10:19:07,1,None,None,True,,,,,,,c1_s0_1-41-42.avi,True,"Instrument: Suction, Action: Suctioning, Tissue: Bleeding site"
okay you dont want to go too much in the pelvic bone,08:39:59,19,None,None,True,,,,,,,c19_s0_0-26-13.avi,True,"Instrument: Fenestrated Bipolar Forceps, Action: Grasping, Tissue: Mesh"
"okay, and just stay very close to the prostate so we don't dig up any more than we need to",14:42:57,2,,,,,,,prostate,prostate,True,c2_s0_0-43-11.avi,True,Maintain gentle pressure with the instrument on the tissue.
"okay, go ahead do a DRE, make sure there's no blood",15:29:06,3,,,,,,,urinary_tract,urinary_tract,True,c3_s0_1-24-3.avi,True,Secure the specimen in the retrieval bag carefully.
"okay, keep going",15:06:03,18,None,None,True,,,,,,,c18_s0_0-33-58.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"okay, maybe there is a blood vessel or two in that...",09:47:00,1,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c1_s0_1-9-35.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
"okay, so grab that",09:42:41,1,,,,grip_hold,grip_hold,True,,,,c1_s0_1-5-16.avi,True,"Instrument: grasper, action: retract, tissue: NaN"
"okay, so this is cava, you don't want to go too medially, right?",09:27:47,24,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c24_s0_0-23-17.avi,True,"instrument: grasper, action: retract, tissue: adipose"
"okay, so this is what I would do before you poke another thing and make a bleed",10:19:58,1,None,None,True,,,,,,,c1_s0_1-42-33.avi,True,Maintain steady instrument control and ensure clear visualization of the surgical field.
"okay, so widen that out... medial... go to the other side... keep that in tact, we'll clip that",09:28:05,1,,,,open_spread,open_spread,True,,,,c1_s0_0-50-40.avi,True,Maintain gentle pressure and ensure clear visualization of the surgical field.
"okay, stick this in the bag please",15:29:00,3,,,,,,,urinary_tract,urinary_tract,True,c3_s0_1-23-57.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
"okay, that was the vein?",09:18:05,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c33_s0_0-43-52.avi,True,Dissect further to expose the tissue plane clearly.
"okay, what is that to the side of that? in that space",15:03:02,18,None,None,True,,,,,,,c18_s0_0-30-57.avi,True,"Instrument: ProGrasp Forceps, Action: Grasping, Tissue: NaN"
okay...the ureter...good,11:42:40,11,,,,,,,urinary_tract,urinary_tract,True,c11_s0_1-48-8.avi,True,Ensure precise instrument positioning and maintain clear visualization of the tissue.
one more stitch here and then we will go to the other side,16:40:16,22,suturing_tools,suturing_tools,True,,,,,,,c22_s0_2-34-8.avi,True,Continue suturing with precision to ensure secure tissue approximation.
"only 47cc gland, so nothing crazy big",14:50:41,26,,,,,,,prostate,prostate,True,c26_s0_0-35-20.avi,True,Advance the instrument gently to maintain clear visualization of the tissue.
open and spread,09:33:03,1,,,,open_spread,open_spread,True,,,,c1_s0_0-55-38.avi,True,"Instrument: bipolar forceps, action: cauterize, tissue: bleeding vessel."
"open that, yes",10:31:40,1,,,,open_spread,open_spread,True,,,,c1_s0_1-54-15.avi,True,Maintain steady instrument control and ensure clear visualization of the surgical field.
"open the bladder, start whenever you want",11:17:28,25,,,,open_spread,open_spread,True,urinary_tract,urinary_tract,True,c25_s0_0-2-41.avi,True,Adjust the grasper position for better tissue manipulation.
open the window,09:19:13,17,,,,open_spread,open_spread,True,,,,c17_s0_0-22-45.avi,True,"Instrument: ProGrasp forceps, action: retract, tissue: adipose tissue."
open this space up here,09:18:39,17,,,,open_spread,open_spread,True,,,,c17_s0_0-22-11.avi,True,"Instrument: Maryland Bipolar, Action: Dissect, Tissue: Peritoneum"
"open this window, don't do that",09:19:14,17,,,,open_spread,open_spread,True,,,,c17_s0_0-22-46.avi,True,"Instrument: Prograsp Forceps, Action: Retract, Tissue: Adipose"
open up the easy space,16:16:45,6,,,,open_spread,open_spread,True,,,,c6_s0_1-26-47.avi,True,"Instrument: bipolar forceps, Action: coagulating, Tissue: adipose tissue"
"open up wide... before you do that... just open up either side, you're still in a hole",09:33:14,1,,,,open_spread,open_spread,True,,,,c1_s0_0-55-49.avi,True,"Instrument: Bipolar forceps, Action: Coagulating, Tissue: Bleeding vessel"
"other way, other way... under the prostate, okay?",09:26:44,1,,,,,,,prostate,prostate,True,c1_s0_0-49-19.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
others... yeah just open that up a little bit more too,09:33:44,1,,,,open_spread,open_spread,True,,,,c1_s0_0-56-19.avi,True,Maintain gentle pressure with the instrument on the tissue.
otherwise you'll cut it out when you're doing it... you have to go really cloes to the...,14:42:44,3,,,,,,,prostate,prostate,True,c3_s0_0-37-41.avi,True,Ensure precise instrument positioning for optimal tissue manipulation.
"perpendicular to the vein, so sweep toward the vein toward",14:42:48,22,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c22_s0_0-36-40.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
psoas right? so look for psoas here,15:51:34,8,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,c8_s0_0-19-15.avi,True,Maintain gentle traction on the tissue for better visualization.
pull it down,19:16:15,29,,,,traction_retract,traction_retract,True,,,,c29_s0_3-27-15.avi,True,Maintain gentle tension on the suture for optimal approximation.
pull the last stitch before you pull up on this one,10:09:14,16,suturing_tools,suturing_tools,True,,,,,,,c16_s0_1-14-18.avi,True,Ensure precise suture placement and maintain tension on the tissue edges.
pull up on that,10:16:18,16,,,,traction_retract,traction_retract,True,,,,c16_s0_1-21-22.avi,True,Ensure secure suturing around the catheter for optimal tissue approximation.
"push the kidney away, push the kidney away",09:02:56,17,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,c17_s0_0-6-28.avi,True,Maintain gentle traction to enhance visualization of the tissue plane.
put your R hand there and gently...like your finger,16:27:32,9,hand_control,hand_control,True,,,,,,,c9_s0_0-19-57.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
put your fourth arm here now,09:13:47,17,auxiliary_arm,auxiliary_arm,True,,,,,,,c17_s0_0-17-19.avi,True,"instrument: ProGrasp forceps, action: retracting, tissue: adipose tissue"
put your left hand up up up,09:20:56,17,hand_control,hand_control,True,,,,,,,c17_s0_0-24-28.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
put your right hand in there and take your left hand out,09:22:24,17,hand_control,hand_control,True,,,,,,,c17_s0_0-25-56.avi,True,"Instrument: grasper, action: retract, tissue: adipose"
realign your left hand,09:22:03,17,hand_control,hand_control,True,,,,,,,c17_s0_0-25-35.avi,True,Adjust your approach to improve visualization of the tissue plane.
remain in the correct fat plane so youre not getting the abd wall fat; You're between the abdominal wall fat and the kidney,16:41:34,8,,,,,,,retroperitoneal_structures,retroperitoneal_structures,True,c8_s0_1-9-15.avi,True,"Instrument: grasper, action: retract, tissue: adipose"
"remember I talk about apex stitches, same thing, this is where it will leak..",17:46:08,12,suturing_tools,suturing_tools,True,,,,,,,c12_s0_1-59-39.avi,True,Ensure precise suture placement and maintain tension on the tissue.
"remember what I said about chopping, like especially this side, right? you could hit the duo, the way you were doing it last week",09:22:22,24,energy_device,energy_device,True,,,,,,,c24_s0_0-17-52.avi,True,"Instrument: grasper, action: retract, tissue: peritoneum"
right on the pearly white adenoma...if theres any bands there you sweep it off,16:03:06,12,,,,sweeping_maneuvers,sweeping_maneuvers,True,miscellaneous,miscellaneous,True,c12_s0_0-16-37.avi,True,Ensure precise alignment of instruments for optimal tissue manipulation.
"right there, I would've buzzed first and then swept",14:11:40,2,energy_device,energy_device,True,,,,,,,c2_s0_0-11-54.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
same vessel here that was tethering you,17:45:45,29,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c29_s0_1-56-45.avi,True,Advance the instrument carefully to maintain clear visualization of the tissue.
see how it moves in the prostate? thats where you go,16:15:55,14,,,,,,,prostate,prostate,True,c14_s0_1-15-59.avi,True,Advance the instrument gently to dissect the tissue precisely.
see if you can just grab,09:35:19,1,,,,grip_hold,grip_hold,True,,,,c1_s0_0-57-54.avi,True,"Instrument: Bipolar forceps, Action: Coagulate, Tissue: Bleeding site"
see that's the end of your barbs on both sutures,18:06:00,30,suturing_tools,suturing_tools,True,,,,,,,c30_s0_3-22-34.avi,True,Adjust your grip and ensure clear visualization of the surgical field.
see theres a vein there,14:45:17,10,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c10_s0_0-34-39.avi,True,Continue dissection with precise control to avoid unnecessary tissue trauma.
show yourself the mucosa,10:05:20,16,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,c16_s0_1-10-24.avi,True,Ensure precise suture placement and maintain tension on the tissue.
since you can see vessel might as well take care of it now,16:09:28,6,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c6_s0_1-19-30.avi,True,"Instrument: bipolar forceps, action: coagulating, tissue: adipose tissue"
small needle,15:46:19,15,suturing_tools,suturing_tools,True,,,,,,,c15_s0_1-37-22.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
so I think youve done amazing job,16:54:28,9,None,None,True,,,,,,,c9_s0_0-46-45.avi,True,Ensure precise control of instruments for optimal tissue manipulation.
"so I would do the opposite of what you do, I would burn first, and then do a gentle sweep... burn and then sweep",14:14:26,2,,,,coagulate,coagulate,True,,,,c2_s0_0-14-40.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
so I would stay on the slightly higher side and you can take that lateral piece first with a clip,10:16:47,1,clip_device,clip_device,True,navigate_position,navigate_position,True,,,,c1_s0_1-39-22.avi,True,Maintain steady retraction for optimal exposure.
"so Jun, I want to see the whole thing, so open the space up. I want to see the whole, cause you can see a glimpse of it somewhere but that doesnt mean you know the exact course of the nerve right?",09:35:02,33,,,,open_spread,open_spread,True,,,,c33_s0_1-0-49.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
"so advance, grab more of your SV",09:39:10,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c1_s0_1-1-45.avi,True,"Instrument: Maryland Bipolar, Action: Dissect, Tissue: Prostate Capsule"
"so again, the key is to find the posterior plane, extend it to the urethra",10:54:52,1,,,,None,None,True,urinary_tract,urinary_tract,True,c1_s0_2-17-27.avi,True,Ensure precise dissection and maintain clear visualization of the surgical field.
so be careful of your tissue tension here becuase your superficial dvc can be around here,14:42:11,26,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c26_s0_0-26-50.avi,True,Maintain gentle traction and continue dissection to enhance visibility.
so bring it towards the left lower quadrant,09:04:27,17,,,,navigate_position,navigate_position,True,,,,c17_s0_0-7-59.avi,True,"Instrument: Prograsp forceps, Action: Dissect, Tissue: Peritoneum"
"so careful, what you just grabbed im not sure if you grabbed that branch of the vein with it.",14:48:02,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c22_s0_0-41-54.avi,True,Maintain gentle traction and proceed with careful dissection of the tissue.
"so get right on it... so peel off that stuff off of it, expose the medial aspect of the SV first",09:47:45,1,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c1_s0_1-10-20.avi,True,Advance the instrument carefully to dissect the tissue.
so here you can just bluntly sweep off the nerve,09:38:42,33,,,,sweeping_maneuvers,sweeping_maneuvers,True,,,,c33_s0_1-4-29.avi,True,Continue with precise dissection and maintain clear visualization of the surgical field.
"so here... stop for a second... so rather than grabbing what you're grabbing there, I'd rather you just retract down",09:30:21,1,retractor_device,retractor_device,True,,,,,,,c1_s0_0-52-56.avi,True,Continue with precise dissection to expose the tissue clearly.
so hug off the vein and off the bone,14:46:09,22,hand_control,hand_control,True,,,,,,,c22_s0_0-40-1.avi,True,Maintain gentle traction and ensure clear visualization of the tissue.
so i think you can go to the other side,17:29:37,7,,,,navigate_position,navigate_position,True,,,,c7_s0_0-46-15.avi,True,"Instrument: Grasper, Action: Retract, Tissue: Adipose"
so im very risk adverse so I like to go right off the nerve take that seperate that,14:53:17,22,,,,open_spread,open_spread,True,,,,c22_s0_0-47-9.avi,True,"Instrument: Maryland Bipolar Forceps, Action: Dissecting, Tissue: Adipose Tissue"
so instead of grabbing something I would just let go of your left hand and stick the whole thing jaws closed into that space,14:48:47,22,hand_control,hand_control,True,,,,,,,c22_s0_0-42-39.avi,True,"Instrument: Fenestrated Bipolar Forceps, Action: Grasping, Tissue: Adipose"
so just account for the spacing right? there's more space on the bladder side than on the urethra side,11:11:39,21,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c21_s0_2-26-26.avi,True,Ensure precise instrument alignment for optimal tissue manipulation.
so just make sure all the needles and clips are accounted for,15:15:29,2,suturing_tools,suturing_tools,True,,,,,,,c2_s0_1-15-43.avi,True,"Instrument: Needle driver, Action: Suture placement, Tissue: Peritoneum"
"so now come in a little bit, yeah",10:49:39,1,,,,navigate_position,navigate_position,True,,,,c1_s0_2-12-14.avi,True,Advance the needle driver for precise suturing.
"so now its getting pretty close, get rid of some of that stuff",14:44:33,22,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c22_s0_0-38-25.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
so now we can start to travel a little bit more on the bladder because obviously there's a lot more to cover,19:04:30,29,,,,,,,urinary_tract,urinary_tract,True,c29_s0_3-15-30.avi,True,Ensure precise suture placement and maintain tension on the tissue.
"so now you got to change your angle, yeah? you need to go under the prostate or you're going to get into the bladder",09:26:28,1,,,,,,,urinary_tract,urinary_tract,True,c1_s0_0-49-3.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
so open all the space up,09:32:54,33,,,,open_spread,open_spread,True,,,,c33_s0_0-58-41.avi,True,Maintain gentle traction on the tissue for better visualization.
so start with a better grasp of your vas,15:30:36,22,,,,,,,seminal_vesicle_vas,seminal_vesicle_vas,True,c22_s0_1-24-28.avi,True,Maintain gentle traction and ensure clear visualization of the tissue.
"so stop, pull from up here, pull from the loop",10:16:00,16,,,,traction_retract,traction_retract,True,,,,c16_s0_1-21-4.avi,True,Ensure precise alignment before proceeding with the next step.
so that way the risk of getting into the prostate is low,10:48:42,31,,,,,,,prostate,prostate,True,c31_s0_1-14-11.avi,True,Maintain steady traction and ensure clear visualization of the surgical field.
so that's not perpendicular to your...,10:32:11,1,energy_device,energy_device,True,,,,,,,c1_s0_1-54-46.avi,True,Advance the instrument gently to secure the tissue.
"so that's not what I mean by seeing the nerve, I want to see the whole nerve, I don't want to see part of the nerve",09:35:51,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c33_s0_1-1-38.avi,True,Grasp the tissue gently with the instrument for precise manipulation.
so that's that corner right? the corner that we turned on the bladder?,19:04:27,29,,,,,,,urinary_tract,urinary_tract,True,c29_s0_3-15-27.avi,True,"Instrument: Needle driver, Action: Suturing, Tissue: Prostate"
so we have a good amount of time for you to do the vas defs,14:50:53,26,,,,,,,prostate,prostate,True,c26_s0_0-35-32.avi,True,"Instrument: Maryland Bipolar, Action: Dissect, Tissue: Peritoneum"
so what I don't like about this is I want to see your nerve down below,09:37:46,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c33_s0_1-3-33.avi,True,Maintain gentle traction and ensure clear visualization of the surgical field.
"so what I'm trying to get you to think about is do I want to get under it here near the aorta or near the ileum, or back down here",09:32:34,24,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c24_s0_0-28-4.avi,True,"Instrument: Maryland Bipolar, Action: Grasping, Tissue: Peritoneum"
"so what you just bipolared and what you cut was nearly the same spot, you want to give yourself a little bit more wiggle room, right?",09:48:39,1,energy_device,energy_device,True,,,,,,,c1_s0_1-11-14.avi,True,Maintain gentle traction and continue precise dissection along the tissue plane.
"so what you were going to take there, probably fine as a little vessel, but you were in a very compromised position right?",09:34:40,33,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c33_s0_1-0-27.avi,True,Maintain gentle traction on the tissue with the instrument.
"so when you cinch, pull 90 degrees from the tissue, okay? if you pull towards the head, because of the barb it's going to cut like a knife",11:12:50,21,,,,,,,vascular_neurovascular_structures,vascular_neurovascular_structures,True,c21_s0_2-27-37.avi,True,"Instrument: Large Needle Driver, Action: Suturing, Tissue: NaN"
so wheres the mucosa,17:50:26,12,,,,,,,gastrointestinal_tract,gastrointestinal_tract,True,c12_s0_2-3-57.avi,True,Ensure precise suture placement and maintain tension on the tissue.
