Dialogue,instrument,action,tissue,generated_feedback,alignment_score
"I would stay away from the urethra, just take the DVC",[NONE],"[stay away, take]","[urethra, DVC]",Stay away from the urethra and DVC.,2
like on the right side of the catheter,[catheter],[NONE],[NONE],Position the catheter appropriately for the next step.,3
"yeah, you have to dissect the apex nicely",[NONE],[dissect],[NONE],Specify the instrument and tissue for dissection.,3
don't go too close to the bladder... I mean the prostate,[NONE],[don't go too close],"[bladder, prostate]",Maintain a safe distance from the bladder and prostate.,5
"go lateral first, work around the prostate",[NONE],"[go lateral, work around]",[prostate],Go lateral and work around the prostate.,5
keep going lateral,[NONE],[go lateral],[NONE],Go lateral with precision.,4
I think that was close to the prostate,[NONE],[NONE],[prostate],Focus on the prostate for the next step.,3
"easy, easy, slow down",[NONE],[slow down],[NONE],Slow down your movements.,5
"so the band which is in your way, release that",[NONE],[release],[NONE],Ensure all instruments are secure before proceeding.,2
"yeah, sometimes it's more stringy","[electrocautery, energy devices]",[NONE],[NONE],Prepare the electrocautery for use when needed.,2
"gentle, gentle, slower... because if you suddenly cut like that, I don't know if you'll hit the capsule",[NONE],[go slower],[capsule],Go slower around the capsule.,4
"so you have to be slower, more ___",[NONE],[be slower],[NONE],Be slower and maintain precision.,4
"if something is not giving, you cut",[NONE],[cut],[NONE],Specify the instrument and tissue before proceeding with the cut.,2
so there you see you went through the ___,[4th arm],[NONE],[NONE],Position the 4th arm for optimal access.,2
"get better retraction and counter-traction, when things are on stretch in both directions, you'll have a better... so your fourth arm should also be pulling the prostate, pull it closer to where you're working",[NONE],"[get better, pull, pull]",[prostate],Pull the prostate gently.,3
closer and rotate,[NONE],"[come closer, rotate]",[NONE],Come closer and rotate as needed.,4
"left hand should retract where you're working, that really creates that opening",[NONE],[retract],[NONE],Ensure clear visualization before proceeding.,2
"so if you're working laterally, then you hold the tissue laterally... grab",[NONE],"[hold, grab]",[NONE],Ensure secure grip before proceeding.,2
don't rip the prostate,[NONE],[rip carefully],[prostate],Rip carefully around the prostate.,1
"let me just look at the prostate... left side ___ tissue, right side ___ tissue",[NONE],[NONE],"[prostate, left side tissue, right side tissue]","Focus on the prostate, left and right side tissues.",4
"go ahead, get hemostasis, perfect hemostasis",[NONE],"[get, get]",[NONE],Clarify your next action and target tissue.,2
exhaust everything you can do in one spot before moving,[NONE],"[exhaust, move]",[NONE],Ensure smooth movement while managing instrument exhaust.,3
so completely exhaust what you are able to do before you move on,[NONE],"[exhaust, move on]",[NONE],Proceed to the next step in the procedure.,2
so the biggest prob  here is everything is flat...so one thing you can do is get that 4th arm in,[NONE],[get in],[NONE],Proceed to the next step when ready.,2
"and then just lift up, get better topography...",[NONE],"[lift up, get better topography]",[NONE],Lift up to improve topography.,5
use monopolar,[NONE],[use],[NONE],Specify the instrument and tissue for the action.,2
okay...lets leave that alone for now,[NONE],[leave alone],[NONE],Proceed with the current setup.,1
I would skinny it down yeah,[NONE],[skinny down],[NONE],Skinny down to improve precision.,5
hold on you gotta get yourself around that first,[NONE],[get around],[NONE],Ensure clear visualization before proceeding.,2
"dont pull on it, you poked a hole in a vein",[NONE],[pull],[vein],Gently pull the vein to avoid tearing.,1
"slow down, slow down you poked multiple holes in same vein",[NONE],[slow down],[vein],Slow down your movements around the vein.,4
okay grab that so you have control,[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before grabbing.,3
you saw what you did right?..you literally just poked 2 holes in the same vein cause of a lack of awareness,"[bipolar, weck]",[NONE],[vein],Use the bipolar to control any bleeding from the vein.,1
"can I see that window, lets see that window a little more",[bipolar],[show that window a little more],[NONE],Adjust the bipolar to improve visibility.,4
you can put one below first,[NONE],[put one below first],[NONE],Clarify the action and tissue before proceeding.,2
Just hold onto that for a sec...im gonna switch,[NONE],[hold],[NONE],Ensure secure grip before proceeding.,3
we literally stabbed thru the same vein in 2 spots,[4th arm],[NONE],[vein],Position the 4th arm carefully near the vein.,2
I want every little thing to be dissected off,[NONE],[dissect off],[NONE],Proceed with careful dissection.,4
you can burn it,[NONE],[burn],[NONE],Specify the instrument and tissue before proceeding with cauterization.,3
"clean that off,right above the clip",[NONE],[clean],[NONE],Ensure the surgical field is clear and free of debris.,3
yeah you can take that,[NONE],[take],[NONE],Clarify the action and tissue before proceeding.,2
prob just cut it...at some point  cutting it is safer than than let it rip,[NONE],[cut],[NONE],Specify the instrument and tissue before proceeding with the cut.,2
"when youre at the hilum your strokes have to be smaller...because lets say theres a lumbar vein here...big stride could have ripped it right thru, if you make your moves smaller, and...much smaller injury",[NONE],"[make strokes smaller, make moves smaller]",[lumbar vein],Make strokes smaller around the lumbar vein.,5
"so one thing i would do, when you work with your tissue and you see theres not much stretch to it again, adjust your 4th arm and give youself more stretch",[NONE],"[adjust, give]",[NONE],Adjust your approach and give careful attention to the surgical field.,3
ok,"[retractor, 4th arm]",[NONE],[NONE],Position the retractor with the 4th arm for optimal exposure.,2
uh you should have...im ok taking together but i want a good exposure of the artery...I want to see it..,[NONE],"[expose, show]",[NONE],Ensure clear visualization of the surgical field.,4
watch for that you see that?,"[left hand, retractor]",[watch for that],[NONE],Watch for that with the left hand retractor.,4
i think you can go in this space..,[NONE],[go],[NONE],Proceed with caution and maintain situational awareness.,3
idk if thats adrenal its really high...well it could be just be careful,[NONE],[be careful],[NONE],Be careful and maintain focus on the surgical field.,4
you wanna take it en bloc?,[NONE],[take],[NONE],Clarify the action and tissue before proceeding.,2
be careful dont avulse that vein,[NONE],[be careful],[vein],Be careful around the vein.,4
go in and let me see...,[NONE],"[go in, let me see]",[NONE],Proceed with visualization.,4
open that i think youre ok,[NONE],[open],[NONE],Specify the instrument and tissue before proceeding with the action.,2
burn the upside if you want or not,[4th arm],[burn the upside],[NONE],Use the 4th arm to adjust position before proceeding.,2
"so here..remember what I like to do here, before you touch this part, first thing i would do open the posterior space",[NONE],[open],[NONE],Specify the instrument and tissue for the open action.,2
just be able to lift all this stuff up,[NONE],[lift],[NONE],Ensure the field is clear before lifting.,3
uh huh keep going keep going,[monopolar],[keep going],[NONE],Continue with the monopolar instrument.,5
"theres a vessel there, careful of vessel",[NONE],[NONE],"[vessel, vessel]",Ensure vessel integrity and monitor for any signs of bleeding.,4
But i think you can go cephlad even more,[NONE],[go cephalad more],[NONE],Continue moving cephalad carefully.,4
"all of that, open all of that, should be blunt lift",[NONE],"[open, lift]",[NONE],"Open and lift carefully, ensuring clear visualization.",3
since you can see vessel might as well take care of it now,[NONE],[take care],[vessel],Take care around the vessel.,4
can that 4th arm pull down any more? or get into action more,[NONE],"[pull down more, get into action more]",[NONE],Adjust your positioning for better engagement.,3
go ahead do that thatsfine,[NONE],[go ahead],[NONE],Proceed with the next step.,5
open up the easy space,[NONE],[open up],[NONE],Clarify the action and tissue before proceeding.,2
just open all that up..you dont want to be tied down by the easy,[NONE],[open],[NONE],"Open carefully, ensuring clear visualization of the surgical field.",3
"be careful, come back, show me upper pole, be careful just dont poke, go in corner, i thought i saw spillage,",[NONE],"[be careful, come back, show, be careful, go]",[NONE],Be careful and proceed with caution.,3
thats not tumor is it? its just your cautery? ok alright,[electrocautery],[NONE],[NONE],Position the electrocautery for precise application.,2
so do it my way for this case,[NONE],[do it my way],[NONE],Clarify your approach and ensure alignment with surgical objectives.,2
I take ureter first,[NONE],[NONE],[ureter],Focus on the ureter. Ensure clear visualization and avoid unnecessary manipulation.,3
what do you sew with?,"[needle, sutures]",[NONE],[NONE],Prepare to suture with the needle.,2
5-0? ok thats appropriate,"[stitches, sutures]",[NONE],[NONE],Prepare to suture when ready.,2
oh look at that,[NONE],[look],[NONE],Focus on the surgical field for any changes.,3
just buzz...cook it to death,[NONE],"[buzz, cook]",[NONE],Ensure the correct instrument is selected before proceeding with the action.,2
check your hilum,[NONE],[check],[NONE],Ensure all systems and instruments are functioning properly.,2
*responding to fellow q* just leave it alone,[NONE],[leave it alone],[NONE],Proceed with the current setup.,1
"stay low, stay low...get your ureter",[NONE],"[stay low, get]",[ureter],Stay low to carefully approach the ureter.,4
more lift,[NONE],[lift more],[NONE],Lift more gently to maintain control.,3
"focus on hilum, get that taken care of, as long as you have good enough exposure, rest of case piece of cake",[NONE],"[focus, get]",[NONE],Focus on the task at hand.,3
*responding to q* I stop checking number of arteries and veins beasue i assume there are going to be many,[NONE],[NONE],"[arteries, veins]",Ensure clear visualization of the arteries and veins.,2
"that looks too small, looks like there are 2 veins",[NONE],[NONE],[veins],Identify and manage the veins carefully.,3
open that up and do a better lift,[NONE],"[open, do a better lift]",[NONE],Open and lift more effectively.,5
Thats fine but get around it first tho,[NONE],[get around],[NONE],Reposition to improve access.,3
I was going to put another clip there,[clip],[NONE],[NONE],Ensure the clip is ready for use when needed.,3
give that a little buzz,[electrocautery],[give a little buzz],[NONE],Use electrocautery to give a little buzz.,4
youre way over here in the boonies take care of the hilum,[NONE],[take care],[NONE],Take care as you proceed.,3
"so fine, if you want to find psoas thats legit, but find it here, dont find it out here, find it right off the superior edge of the vein",[NONE],"[find, don't find, find]","[psoas, superior edge of the vein]",Locate the superior edge of the vein.,3
buzz that real quick,[NONE],[buzz],[NONE],Ensure the instrument is correctly positioned before activating the energy.,2
"grab it hold here, ok ok thats fine",[NONE],"[grab, hold]",[NONE],Ensure secure grip before proceeding.,4
"no, you want to end bloc it?",[NONE],[bloc it],[NONE],Clarify the action and tissue involved before proceeding.,2
can you articulate just a touch,[NONE],[articulate just a touch],[NONE],Articulate just a touch for precise control.,5
hold on hold on ok lets try that,[NONE],"[hold on, try that]",[NONE],Hold steady and maintain your current approach.,4
you fire the stapler and it jams what do you do?,[stapler],[NONE],[NONE],Ensure the stapler is ready for use when needed.,2
"it doesn't...nothing happens. So first most important is reverse, and then... thing in here you can crank...and will open but have to reverse first.",[NONE],"[reverse, crank]",[NONE],Reverse the crank carefully.,5
"I like to open up everything here laterally here, as lateral as you can and as cephalad as you can",[NONE],[open up],[NONE],Clarify which instrument and tissue you are addressing.,2
and i will take care of the liver for you,[NONE],[NONE],[liver],"Focus on the urologic area, not the liver.",2
"yeah, so here in the peritoneum stay as high as you can",[NONE],[stay high],[peritoneum],Stay high on the peritoneum.,5
"I wouldnt do that much yet...the reason is bc i want to start from here and start to see adrenal and march lateral to that and you dont know that yet, so i wouldnt even bother scoring the adrenal",[NONE],"[start, start, march]",[adrenal],Begin the procedure on the adrenal tissue.,1
"so you start here, this is where i want you to start",[NONE],[start],[NONE],Initiate the procedure when ready.,5
"and as you go this way, youll see lateral edge of adrenal yes?",[NONE],[NONE],[lateral edge of adrenal],Focus on the lateral edge of the adrenal.,4
you dont know what level you will hit it so theres no reason to score the peritoneum yet,[NONE],[NONE],[peritoneum],Focus on the peritoneum.,1
"so if youve done this properly youre gonna come across lateral edge of adrenal, but i want you to stay as lateral as possible, last thing you want to do is get into adrenal",[NONE],"[come across, stay as lateral as possible]","[lateral edge of adrenal, adrenal]",Stay as lateral as possible on the adrenal's lateral edge.,5
"well, youre gonna hit the corner, know how its pyramidal shape?",[NONE],[hit],[NONE],Avoid unintended contact with surrounding structures.,3
make sure these vessels get cooked really nicely,[NONE],[make sure],[vessels],Ensure vessels are clearly visible and protected.,2
"the liver retractor i just dont deal w bc unless you had to is because i dont like the locking alice, causes all sorts of problems","[liver retractor, locking alice]",[NONE],[liver],Position the liver retractor carefully to stabilize the liver.,1
so now youre opening peritoneum in more appropriate manner bc you know exactly where you had to be,[NONE],[NONE],[peritoneum],Focus on the peritoneum.,3
"yeah i dont think...cause youre going up more, i would this thin out more uh huh there un huh",[NONE],[thin out more],[NONE],Continue thinning as needed.,5
"but make sure... this can  be part of very annoying bleeding after, bc perforating adrenal vessels, alright",[NONE],[NONE],[adrenal vessels],Focus on the adrenal vessels for precise identification and management.,3
do you want to clean?,[NONE],[CLEAN],[NONE],Ensure the surgical field is clear and free of debris.,4
i dont like -- hold on for a sec -- i dont like digging into tissue thats just a big mat of tissue,[NONE],[NONE],[tissue],Focus on the tissue for precise manipulation.,2
"I would rather you work from leading edge here, why? you can see the back end of this,",[NONE],[work from leading edge],[NONE],Work from the leading edge for optimal precision.,5
"work layer by layer starting from here and progressing this way,",[NONE],"[start working, progress]",[NONE],Proceed with the next step in the procedure.,2
"when you work from big blob of tissue and dig into it, dont know where vessels are, no warning",[NONE],[NONE],"[tissue, vessels]",Focus on the vessels for precise identification and management.,3
so work from this starting edge here and march deeper as you go,[NONE],"[work, march deeper]",[NONE],Proceed with caution as you advance further.,4
"so here I stop when you get to lateral wall, which is just a tiny bit more and youre good",[NONE],[NONE],[lateral wall],Focus on the lateral wall for precise dissection.,3
so i think you can go to the other side,[NONE],[go to the other side],[NONE],Proceed to the other side.,4
"same strategy applies here, when youre doing this part...i want to see posterior plane...this is easy part of the case...i want to see posterior plane that you have developed",[NONE],"[see posterior plane, see posterior plane]",[NONE],Ensure clear visualization of the posterior plane.,4
"and this is not great exposure tho, so get it so that its nice",[NONE],[get it],[NONE],Clarify your target and action before proceeding.,3
"then as you take this - hold on i want to see both planes, i want to see anterior and and posterior, okay",[NONE],"[hold on, show both, show anterior and posterior]","[planes, anterior, posterior]",Hold on the anterior and posterior planes.,4
"now this is super easy, but if this was an xgp kidney this would rly suck so you need anatomic cues of this side and this side and its easier, appreciate in simpleeasy case like this, and then in xgp when everything is stuck, find both planes",[NONE],"[appreciate, find]",[NONE],Clarify the action or tissue for precise guidance.,3
keep that posterior exposure and anterior exposure and here you just have to pull and it will fall off,[NONE],[pull],[NONE],Ensure controlled movement while pulling.,3
"yup, go go",[NONE],[go],[NONE],Proceed with caution and maintain situational awareness.,4
take it open behind it,[NONE],[take],[NONE],Specify the instrument and tissue for the action.,2
come back look to the right,[NONE],"[come back, look to the right]",[NONE],Look to the right and come back to your previous position.,5
yeah get all that stuff,[NONE],[get],[NONE],Clarify the target and instrument before proceeding.,2
"dont hold it close to bowel, up and stay up",[NONE],"[hold, stay]",[bowel],Hold the bowel steady.,1
cut cold,[NONE],[cut],[NONE],Specify the instrument and tissue before proceeding with the cut.,2
"dont go up, stay far down there work on the easy part",[NONE],"[stay far, work]",[NONE],Maintain a safe distance while working.,3
"yeah, correct, so stay at the junction between the two.",[NONE],[stay],[NONE],Maintain your current position.,4
ok let go boom boom,[NONE],[let go],[NONE],Release the current hold.,5
"stay in the correct plane, yup, between the two fascial layers",[NONE],[stay],[fascial layers],Maintain position on the fascial layers.,4
thats not the correct plane...its between the two fascial layers,[NONE],[NONE],[fascial layers],Focus on the fascial layers for precise dissection.,3
just cut it,[NONE],[cut],[NONE],Specify the instrument and tissue before proceeding with the cut.,3
dont cut into yellow fat,[NONE],[avoid cutting],[yellow fat],Avoid cutting the yellow fat.,5
cut cut cut,[NONE],[cut],[NONE],Specify the instrument and tissue before proceeding with the cut.,2
be careful there might be divertiuli between the epipolic appendices,[NONE],[NONE],"[diverticuli, epiploic appendices]",Focus on the diverticuli and epiploic appendices.,3
might be a tic in there so be careful,[NONE],[be careful],[NONE],Be careful and maintain awareness of your surroundings.,4
stay sharp,[NONE],[stay sharp],[NONE],Stay sharp and maintain focus.,4
"stay in the junction  between the bright yellow fat and the other fat, and stay between the two fascia layers to whatever extent it's possible.",[NONE],"[stay in the junction, stay between the two fascia layers]","[fat, fascia layers]",Maintain position between the fascia layers.,3
"mmhm...i mean sometimes it is not possible, but try and stay",[NONE],"[try, stay]",[NONE],Maintain your current position.,4
your 4th arm,[4th arm],[NONE],[NONE],Position the 4th arm for optimal access.,3
see where your 4th arm is,[4th arm],[see],[NONE],Use the 4th arm to improve your field of view.,4
"yeah, careful where bowel is,",[NONE],[NONE],[bowel],Ensure the bowel is protected and not in the surgical field.,4
stop for a second are you getting into the thing?,[NONE],[stop],[NONE],Pause and reassess the situation.,4
carry all the way to the right,[NONE],[carry],[NONE],Specify the instrument and tissue for carrying.,2
"yup, be careful",[NONE],[be careful],[NONE],Be careful and maintain focus on the surgical field.,4
take all of that down,[NONE],[take down],[NONE],Clarify the target tissue for the take down.,3
bowel on other side,[NONE],[NONE],[bowel],Avoid contact with the bowel.,3
"move camera, gonna throw up",[camera],[move],[NONE],Adjust the camera for optimal visualization.,4
"look in here, is this ureter?",[NONE],[look],[ureter],Look closely at the ureter.,4
dont let me do it,[NONE],[do not let],[NONE],Maintain focus and ensure all actions are deliberate.,1
go go go come on,[NONE],[go],[NONE],Proceed with caution and ensure all systems are ready.,2
"there you go, made a little nic in gerotias",[NONE],[NONE],[Gerota's fascia],Focus on the Gerota's fascia.,3
carry it as high as you can go then i would say get your 4th arm lift up get under it,[4th arm],"[carry, get, lift, get]",[NONE],Use the 4th arm to assist with tissue manipulation.,3
hitting w your R arm,[right hand],[NONE],[NONE],Maintain awareness of your right hand's position.,3
tuck it under your chin,[NONE],[tuck],[NONE],Ensure all instruments are properly positioned before proceeding.,2
look for gonadal and ureter,[NONE],[look],"[gondal, ureter]",Focus on visualizing the gonadal and ureter areas.,5
"nope, further down...lower pole and then we march up",[NONE],"[go further down, march up]",[lower pole],Proceed further down to the lower pole.,4
"your L hands not doing anthing, pull towards cam","[left hand, camera]",[pull towards],[NONE],Use the camera to pull towards for better visualization.,3
regrab,[NONE],[regrab],[NONE],Regrab securely before proceeding.,4
gonadal right? lets find ureter,[NONE],[find],"[gonadal, ureter]",Find the gonadal and ureter structures carefully.,4
stop that bleeding right there,[NONE],[stop],[NONE],Pause and reassess the situation.,2
"in here, ureter here",[NONE],[NONE],[ureter],Focus on the ureter's integrity and positioning.,3
"goal is to get under, lift kidney up...so whats going to be under it?",[NONE],[NONE],[kidney],Focus on the kidney for the next step.,3
psoas right? so look for psoas here,[NONE],[look],[psoas],Look at the psoas muscle.,5
sweep up,[NONE],[sweep up],[NONE],Ensure your movements are controlled and precise.,2
watch the ureter...,[NONE],[watch],[ureter],Watch the ureter closely.,5
get in with L hand and lift up,[left hand],"[get in, lift up]",[NONE],Lift up with your left hand.,4
"sweep down, there",[NONE],[sweep down],[NONE],Ensure controlled movement while sweeping down.,4
Now careful bc if you get under the fascia of psoas youre gonna bleed,[NONE],[NONE],[fascia of psoas],Focus on the fascia of psoas.,2
"get into right plane, might be a little deep there",[NONE],[get into],[NONE],Ensure precise positioning before proceeding.,3
come to this layer,[NONE],[come],[NONE],Clarify your next action or instrument choice.,2
yeah I want to lift it up,[NONE],[lift up],[NONE],Ensure the area is clear before lifting.,3
stay above that tendon,[NONE],[stay above],[tendon],Maintain position above the tendon.,5
just buzz those vessels,[electrocautery],[buzz],[vessels],Use electrocautery to buzz and coagulate the vessels.,4
now get ready with 4th arm,[4th arm],[get ready],[NONE],Prepare the 4th arm for the next step.,5
open some more of that dont work in a hole,[NONE],"[open more, don't work]",[NONE],Open more for better visibility.,5
buzz buzz buzz open it,[electrocautery],"[buzz, open]",[NONE],Use electrocautery to buzz and open carefully.,4
lift better w your L hand,[left hand],[lift better],[NONE],Lift better with your left hand.,5
"lets put 4th arm in there, lift up, hand over hand maneuver",[4th arm],"[put, lift up, maneuver]",[NONE],Use the 4th arm to maneuver as needed.,4
Tuck r arm under,[right hand],[Tuck],[NONE],Use the right hand to tuck carefully.,4
watch...what are you doing?,[NONE],[watch],[NONE],Maintain focus on the surgical field.,3
change your instrument,[instrument],[change],[NONE],Change the instrument as needed.,4
so you dropped all the colon and lifted ureter?,[NONE],[NONE],"[colon, ureter]",Focus on the colon and ureter for precise dissection.,3
go slow,[NONE],[go slow],[NONE],Proceed with caution and maintain a slow pace.,4
bipolar that,[bipolar],[bipolar that],[NONE],"Use the bipolar instrument carefully, ensuring precise application.",4
keep the jaws open a little bit,[graspers],[keep open],[NONE],Keep the graspers open for better visibility.,5
create some more of that plane posteriorly,[NONE],[create more],[NONE],Specify the action and tissue for clarity.,2
"drop the psoas sheets down, stay above psoas sheets",[NONE],"[drop, stay]",[psoas sheets],Drop and stay on the psoas sheets.,3
advance your 4th arm in there and lift up,[4th arm],"[advance, lift up]",[NONE],Advance and lift up with the 4th arm carefully.,5
easy...this is a vein,[NONE],[NONE],[vein],Ensure the vein is protected during the procedure.,3
I want you to pull away from the vital structureswhen buzzing,[NONE],[pull away],[vital structures],Avoid pulling away from vital structures.,1
yeah so start from below and work your way up,[NONE],"[start, work]",[NONE],Begin your task with precision and focus.,2
clean your hook,[hook],[clean],[NONE],Clean the hook instrument thoroughly before proceeding.,4
start at this bend,[NONE],[start],[NONE],Initiate the procedure when ready.,3
cook it,[NONE],[cook],[NONE],Clarify the action and tissue before proceeding.,2
clean your hook,[hook],[clean],[NONE],Clean the hook instrument thoroughly before proceeding.,4
"one strand at a time, up and down, every vessel",[NONE],[NONE],[vessel],Ensure vessel integrity is maintained.,3
now cut in the middle,[NONE],[cut],[NONE],Specify the instrument and tissue before proceeding to cut.,2
"ok wait for a sec, we dont need to do that, release that",[NONE],"[wait, release]",[NONE],Pause and release gently.,4
ok stop for a second...(discusses next portion of case),[NONE],[stop],[NONE],Pause and reassess the situation.,5
dont go there yet..stop for a sec,[NONE],[stop],[NONE],Stop immediately and await further instructions.,5
"ok free up the rest, we dont need to take adrenal, hug surface and keep a lot of fat on kidney",[NONE],"[free up, hug, keep]","[adrenal, surface, fat, kidney]",Free up the fat on the kidney surface.,2
ok grab it,[NONE],[grab],[NONE],Ensure the instrument is correctly positioned before grabbing.,3
Dont get into pancreas,[NONE],[do not get into],[pancreas],Avoid approaching the pancreas.,5
if he has plenty of adipose tissue,[NONE],[NONE],[adipose tissue],Identify and manage the adipose tissue carefully.,2
don't get into the adrenal gland,[NONE],[avoid],[adrenal gland],Avoid the adrenal gland.,5
start from below and work your way up,[NONE],"[start, work]",[NONE],Proceed with the next step in the procedure.,2
"even below the lower pole, like almost from the pelvic brim, that way you can rotate the kidney nicely",[NONE],[NONE],"[pelvic brim, kidney]",Focus on the pelvic brim and kidney for the next steps.,3
ok start a little higher,[NONE],[start higher],[NONE],Adjust your starting position to be higher.,5
start somewhere there,[NONE],[start],[NONE],Initiate the procedure when ready.,4
the point of excision is good on the ureter because right now you have two points of excision.,[NONE],[NONE],[ureter],Focus on the ureter.,3
get to the psoas and then work youre way,[NONE],"[get, work]",[psoas],Focus on the psoas muscle.,3
remain in the correct fat plane so youre not getting the abd wall fat; You're between the abdominal wall fat and the kidney,[NONE],[remain],"[fat plane, abdominal wall fat, kidney]",Maintain position on the fat plane and abdominal wall fat near the kidney.,4
"its ok, make the correction",[NONE],[make correction],[NONE],Make the necessary correction.,4
be careful dont hit diaphragm w the hook,[hook],"[be careful, don't hit]",[diaphragm],Be careful not to hit the diaphragm with the hook.,5
be gentle dont poke the tumor,[NONE],"[be gentle, don't poke]",[tumor],"Be gentle with the tumor, avoid poking.",5
"stay in the flimflam, dont get in body wall",[NONE],"[stay, don't get]","[NONE, body wall]",Maintain your position and avoid contacting the body wall.,5
"stay close to kidney, right there yeah get to correct plane",[NONE],"[stay close, get to correct plane]",[kidney],Stay close to the kidney to find the correct plane.,5
"find the correct plane here, right there, and work your way up",[NONE],"[find, work]",[NONE],Focus on identifying the target area before proceeding.,3
get into that spot right there,[NONE],[get into],[NONE],Proceed to the next step when ready.,2
something is hitting R arm,[right hand],[NONE],[NONE],Maintain awareness of your right hand's position.,3
"release all this, get into the right plane",[NONE],"[release, get into]",[NONE],Release and reposition as needed.,3
ok i think take the ureter and then you lift up and go to upper pole,[NONE],"[take, lift up, go]","[ureter, upper pole]",Lift the ureter and upper pole carefully.,4
staple across the ureter and whole shebang,[stapler],[staple],[ureter],Use the stapler to staple the ureter securely.,4
you can go a little higher,[NONE],[go higher],[NONE],Adjust your position slightly higher.,5
"Then we're going to not change the position, extract in this position, then close it, and then we'll take another look inside.",[NONE],"[extract, close, take another look]",[NONE],Take another look before proceeding.,3
go along the psoas all the way toward the spleen,[NONE],[go along],"[psoas, spleen]",Proceed along the psoas and spleen carefully.,4
drop it from the pale end first and fill it,[NONE],"[drop, fill]",[NONE],Proceed with the drop and fill action as planned.,3
dont rip the tumor,[NONE],[rip],[NONE],Avoid ripping; ensure precise movements.,4
typically i do 2 stitches,[stitches],[NONE],[NONE],Ensure stitches are ready for the next step.,3
put your R hand there and gently...like your finger,[right hand],"[put, gently]",[NONE],Gently position the right hand.,4
"yeah, complete the dissection...well call it...getting off skin of orange",[NONE],[complete],[NONE],Ensure all steps are completed before proceeding.,3
instead of grabbing it i put L hand inside,[left hand],[NONE],[NONE],Maintain awareness of your left hand's position.,3
"and with the R hand, bluntly, now that youre in a good plane go close to prostate",[left hand],[go close],[prostate],Use your left hand to go close to the prostate.,3
I do like to see capsule fibers,[NONE],[NONE],[capsule fibers],Focus on the capsule fibers for precise dissection.,4
keep your hand there... R hand there...swing like this,[right hand],"[keep, swing]",[NONE],Maintain steady control with your right hand.,3
"when you do open you put your finger there, tip a little bit anterior...gently do like this...",[NONE],"[open, put, tip, do]",[NONE],Clarify your action and target tissue before proceeding.,2
no reason your scissors cannot do that job,[scissors],[NONE],[NONE],Position the scissors for the next step.,3
keep ...up so doesnt perforate capsule and swing swing swing,[NONE],"[keep up, swing]",[capsule],Maintain your focus on the capsule.,3
"yeah exactly, bovie that",[bovie],[bovie],[NONE],"Use the bovie cautiously, ensuring no unintended tissue contact.",4
thats a 5 and 7 the vessels there,[NONE],[NONE],[vessels],Ensure vessels are clearly visualized and protected.,2
get the camera back a little,[camera],[get back],[NONE],Reposition the camera for optimal visualization.,3
"what you can do now that you have gotten so far...switch to 4th arm and retract more, bring it up,","[4th arm, retractor]","[switch, retract more, bring up]",[NONE],Switch the 4th arm retractor to retract more effectively.,4
if it doesnt give you..you can switch L side,[NONE],[switch],[NONE],Switch instruments as needed.,3
so this is the capsule,[NONE],[NONE],[capsule],Focus on the capsule for precise dissection.,3
exactly so this is the area youre close to the sphincter...contour is similar to apex..you see that?,[NONE],[NONE],"[sphincter, contour, apex]",Focus on the sphincter contour at the apex.,4
"this is the apex coming, and this is the urethra. so its actually pulling whole thing back so you gently push capsule down",[NONE],[gently push],"[apex, urethra, capsule]","Gently push the apex, urethra, and capsule.",3
"tap tap, thats enough",[NONE],[tap],[NONE],Clarify the target tissue for tapping.,2
and drop it,[NONE],[drop],[NONE],Ensure the instrument is secure before proceeding.,2
with the elbow you can retract to distal part,[NONE],[retract],[NONE],Ensure clear visualization before proceeding.,2
"i like that, exactly what i mean...retracting and pulling cause that capsule is bringing the sphincter and if unnoticed can bovie thru","[retractor, electrocautery]","[retract, pull]","[capsule, sphincter]",Use the retractor to gently retract the capsule.,4
"yeah, start a little bend",[NONE],[start],[NONE],Initiate the procedure when ready.,2
"dont go inside, just a bend",[NONE],"[dont go inside, bend]",[NONE],"Bend carefully, avoiding entry into any structures.",5
yeah just go thru it,[NONE],[go through],[NONE],Proceed with caution and ensure clear visualization.,4
go more anterior now,[NONE],[go more anterior],[NONE],Go more anterior with precision.,4
amazing work on posterior so yeah bring it down and other side of it,[NONE],"[bring down, bring other side]",[NONE],Bring down and bring the other side as needed.,4
bring it down toward the rectum,[NONE],[bring down],[rectum],Bring down the rectum carefully.,4
start here and go all around,[NONE],"[start, go]",[NONE],Proceed with the next step in the procedure.,2
go all around yup,[NONE],[go all around],[NONE],Ensure full visualization of the surgical field.,3
"pumper, take care of that",[NONE],[take care],[NONE],Ensure precision and maintain focus throughout the procedure.,2
connect the bottom part to it and find that plane there because you have already created it,[NONE],"[connect, find]",[NONE],Clarify the target tissue and instrument for connection.,3
get your R hand there inside the fossa,[right hand],[get inside],[fossa],Advance the right hand into the fossa carefully.,5
"exactly, i like that, just the bladder and the capsule",[NONE],[NONE],"[bladder, capsule]",Focus on the bladder capsule.,4
thats the capsule fibers,[NONE],[NONE],[capsule fibers],Focus on preserving the integrity of the capsule fibers.,3
"mmhm, connect A to B, find where you were",[NONE],"[connect, find]",[NONE],Ensure connections are secure and locate the target area.,4
