Dialogue,instrument,action,tissue,iat_triplet,label_prompt,generated_feedback
keep that posterior exposure and anterior exposure and here you just have to pull and it will fall off,[NONE],[pull],[NONE],"('[NONE]', '[pull]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [pull], tissue: [NONE]

Feedback:
",Ensure controlled tension while pulling.
"yup, go go",[NONE],[go],[NONE],"('[NONE]', '[go]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go], tissue: [NONE]

Feedback:
",Proceed with caution and maintain situational awareness.
take it open behind it,[NONE],[take],[NONE],"('[NONE]', '[take]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [take], tissue: [NONE]

Feedback:
",Specify the instrument and tissue for the action.
come back look to the right,[NONE],"[come back, look to the right]",[NONE],"('[NONE]', '[come back, look to the right]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [come back, look to the right], tissue: [NONE]

Feedback:
",Look to the right and come back to your previous position.
yeah get all that stuff,[NONE],[get],[NONE],"('[NONE]', '[get]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get], tissue: [NONE]

Feedback:
",Clarify the target and instrument before proceeding.
"dont hold it close to bowel, up and stay up",[NONE],"[hold, stay]",[bowel],"('[NONE]', '[hold, stay]', '[bowel]')","IAT Triplet:
instrument: [NONE], action: [hold, stay], tissue: [bowel]

Feedback:
",Hold the bowel steady.
cut cold,[NONE],[cut],[NONE],"('[NONE]', '[cut]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cut], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the cut.
"dont go up, stay far down there work on the easy part",[NONE],"[stay far, work]",[NONE],"('[NONE]', '[stay far, work]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stay far, work], tissue: [NONE]

Feedback:
",Maintain a safe distance while working.
"yeah, correct, so stay at the junction between the two.",[NONE],[stay],[NONE],"('[NONE]', '[stay]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stay], tissue: [NONE]

Feedback:
",Maintain current position.
ok let go boom boom,[NONE],[let go],[NONE],"('[NONE]', '[let go]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [let go], tissue: [NONE]

Feedback:
",Release the current hold.
"stay in the correct plane, yup, between the two fascial layers",[NONE],[stay],[fascial layers],"('[NONE]', '[stay]', '[fascial layers]')","IAT Triplet:
instrument: [NONE], action: [stay], tissue: [fascial layers]

Feedback:
",Maintain position on the fascial layers.
thats not the correct plane...its between the two fascial layers,[NONE],[NONE],[fascial layers],"('[NONE]', '[NONE]', '[fascial layers]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [fascial layers]

Feedback:
",Focus on the fascial layers for precise dissection.
just cut it,[NONE],[cut],[NONE],"('[NONE]', '[cut]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cut], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the cut.
dont cut into yellow fat,[NONE],[avoid cutting],[yellow fat],"('[NONE]', '[avoid cutting]', '[yellow fat]')","IAT Triplet:
instrument: [NONE], action: [avoid cutting], tissue: [yellow fat]

Feedback:
",Avoid cutting the yellow fat.
cut cut cut,[NONE],[cut],[NONE],"('[NONE]', '[cut]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cut], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the cut.
be careful there might be divertiuli between the epipolic appendices,[NONE],[NONE],"[diverticuli, epiploic appendices]","('[NONE]', '[NONE]', '[diverticuli, epiploic appendices]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [diverticuli, epiploic appendices]

Feedback:
",Focus on the diverticuli and epiploic appendices.
might be a tic in there so be careful,[NONE],[be careful],[NONE],"('[NONE]', '[be careful]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [be careful], tissue: [NONE]

Feedback:
",Proceed with caution.
stay sharp,[NONE],[stay sharp],[NONE],"('[NONE]', '[stay sharp]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stay sharp], tissue: [NONE]

Feedback:
",Stay sharp and maintain focus.
"stay in the junction  between the bright yellow fat and the other fat, and stay between the two fascia layers to whatever extent it's possible.",[NONE],"[stay in the junction, stay between the two fascia layers]","[fat, fascia layers]","('[NONE]', '[stay in the junction, stay between the two fascia layers]', '[fat, fascia layers]')","IAT Triplet:
instrument: [NONE], action: [stay in the junction, stay between the two fascia layers], tissue: [fat, fascia layers]

Feedback:
",Stay in the junction between the fascia layers.
"mmhm...i mean sometimes it is not possible, but try and stay",[NONE],"[try, stay]",[NONE],"('[NONE]', '[try, stay]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [try, stay], tissue: [NONE]

Feedback:
",Stay steady and maintain focus.
your 4th arm,[4th arm],[NONE],[NONE],"('[4th arm]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [4th arm], action: [NONE], tissue: [NONE]

Feedback:
",Position the 4th arm for optimal access.
see where your 4th arm is,[4th arm],[see],[NONE],"('[4th arm]', '[see]', '[NONE]')","IAT Triplet:
instrument: [4th arm], action: [see], tissue: [NONE]

Feedback:
",Use the 4th arm to improve your field of view.
"yeah, careful where bowel is,",[NONE],[NONE],[bowel],"('[NONE]', '[NONE]', '[bowel]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bowel]

Feedback:
",Ensure the bowel is protected and not in the surgical field.
stop for a second are you getting into the thing?,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
carry all the way to the right,[NONE],[carry],[NONE],"('[NONE]', '[carry]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [carry], tissue: [NONE]

Feedback:
",Specify the instrument and tissue for carrying.
"yup, be careful",[NONE],[be careful],[NONE],"('[NONE]', '[be careful]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [be careful], tissue: [NONE]

Feedback:
",Proceed with caution.
take all of that down,[NONE],[take down],[NONE],"('[NONE]', '[take down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [take down], tissue: [NONE]

Feedback:
",Clarify the target tissue for the take down.
bowel on other side,[NONE],[NONE],[bowel],"('[NONE]', '[NONE]', '[bowel]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [bowel]

Feedback:
",Ensure the bowel is protected and not in the surgical field.
"move camera, gonna throw up",[camera],[move],[NONE],"('[camera]', '[move]', '[NONE]')","IAT Triplet:
instrument: [camera], action: [move], tissue: [NONE]

Feedback:
",Adjust the camera for optimal visualization.
"look in here, is this ureter?",[NONE],[look],[ureter],"('[NONE]', '[look]', '[ureter]')","IAT Triplet:
instrument: [NONE], action: [look], tissue: [ureter]

Feedback:
",Look closely at the ureter.
dont let me do it,[NONE],[do not let],[NONE],"('[NONE]', '[do not let]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [do not let], tissue: [NONE]

Feedback:
",Maintain control and ensure safety.
go go go come on,[NONE],[go],[NONE],"('[NONE]', '[go]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go], tissue: [NONE]

Feedback:
",Proceed with caution and maintain situational awareness.
"there you go, made a little nic in gerotias",[NONE],[NONE],[Gerota's fascia],"('[NONE]', '[NONE]', ""[Gerota's fascia]"")","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [Gerota's fascia]

Feedback:
",Focus on the Gerota's fascia for the next step.
carry it as high as you can go then i would say get your 4th arm lift up get under it,[4th arm],"[carry, get, lift, get]",[NONE],"('[4th arm]', '[carry, get, lift, get]', '[NONE]')","IAT Triplet:
instrument: [4th arm], action: [carry, get, lift, get], tissue: [NONE]

Feedback:
",Use the 4th arm to assist with tissue manipulation.
hitting w your R arm,[right hand],[NONE],[NONE],"('[right hand]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [NONE], tissue: [NONE]

Feedback:
",Maintain awareness of your right hand position.
tuck it under your chin,[NONE],[tuck],[NONE],"('[NONE]', '[tuck]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [tuck], tissue: [NONE]

Feedback:
",Ensure all instruments are properly positioned before proceeding.
look for gonadal and ureter,[NONE],[look],"[gondal, ureter]","('[NONE]', '[look]', '[gondal, ureter]')","IAT Triplet:
instrument: [NONE], action: [look], tissue: [gondal, ureter]

Feedback:
",Focus on visualizing the gonadal and ureteral structures.
"nope, further down...lower pole and then we march up",[NONE],"[go further down, march up]",[lower pole],"('[NONE]', '[go further down, march up]', '[lower pole]')","IAT Triplet:
instrument: [NONE], action: [go further down, march up], tissue: [lower pole]

Feedback:
",Proceed further down to the lower pole.
"your L hands not doing anthing, pull towards cam","[left hand, camera]",[pull towards],[NONE],"('[left hand, camera]', '[pull towards]', '[NONE]')","IAT Triplet:
instrument: [left hand, camera], action: [pull towards], tissue: [NONE]

Feedback:
",Use the camera to pull towards the target area.
regrab,[NONE],[regrab],[NONE],"('[NONE]', '[regrab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [regrab], tissue: [NONE]

Feedback:
",Regrab securely before proceeding.
gonadal right? lets find ureter,[NONE],[find],"[gonadal, ureter]","('[NONE]', '[find]', '[gonadal, ureter]')","IAT Triplet:
instrument: [NONE], action: [find], tissue: [gonadal, ureter]

Feedback:
",Find the gonadal and ureter tissues carefully.
stop that bleeding right there,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the current situation.
"in here, ureter here",[NONE],[NONE],[ureter],"('[NONE]', '[NONE]', '[ureter]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [ureter]

Feedback:
",Focus on the ureter. Ensure clear visualization and avoid unnecessary manipulation.
"goal is to get under, lift kidney up...so whats going to be under it?",[NONE],[NONE],[kidney],"('[NONE]', '[NONE]', '[kidney]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [kidney]

Feedback:
",Focus on the kidney for precise dissection.
psoas right? so look for psoas here,[NONE],[look],[psoas],"('[NONE]', '[look]', '[psoas]')","IAT Triplet:
instrument: [NONE], action: [look], tissue: [psoas]

Feedback:
",Look at the psoas muscle carefully.
sweep up,[NONE],[sweep up],[NONE],"('[NONE]', '[sweep up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [sweep up], tissue: [NONE]

Feedback:
",Clarify the target tissue for sweeping.
watch the ureter...,[NONE],[watch],[ureter],"('[NONE]', '[watch]', '[ureter]')","IAT Triplet:
instrument: [NONE], action: [watch], tissue: [ureter]

Feedback:
",Watch the ureter closely.
get in with L hand and lift up,[left hand],"[get in, lift up]",[NONE],"('[left hand]', '[get in, lift up]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [get in, lift up], tissue: [NONE]

Feedback:
",Lift up with the left hand carefully.
"sweep down, there",[NONE],[sweep down],[NONE],"('[NONE]', '[sweep down]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [sweep down], tissue: [NONE]

Feedback:
",Ensure controlled movement while sweeping down.
Now careful bc if you get under the fascia of psoas youre gonna bleed,[NONE],[NONE],[fascia of psoas],"('[NONE]', '[NONE]', '[fascia of psoas]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [fascia of psoas]

Feedback:
",Focus on the fascia of psoas for precise dissection.
"get into right plane, might be a little deep there",[NONE],[get into],[NONE],"('[NONE]', '[get into]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get into], tissue: [NONE]

Feedback:
",Proceed to the next step when ready.
come to this layer,[NONE],[come],[NONE],"('[NONE]', '[come]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [come], tissue: [NONE]

Feedback:
",Clarify your intended action and target tissue.
yeah I want to lift it up,[NONE],[lift up],[NONE],"('[NONE]', '[lift up]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [lift up], tissue: [NONE]

Feedback:
",Ensure you have the correct instrument before proceeding.
stay above that tendon,[NONE],[stay above],[tendon],"('[NONE]', '[stay above]', '[tendon]')","IAT Triplet:
instrument: [NONE], action: [stay above], tissue: [tendon]

Feedback:
",Maintain position above the tendon.
just buzz those vessels,[electrocautery],[buzz],[vessels],"('[electrocautery]', '[buzz]', '[vessels]')","IAT Triplet:
instrument: [electrocautery], action: [buzz], tissue: [vessels]

Feedback:
",Use electrocautery to buzz and cauterize the vessels.
now get ready with 4th arm,[4th arm],[get ready],[NONE],"('[4th arm]', '[get ready]', '[NONE]')","IAT Triplet:
instrument: [4th arm], action: [get ready], tissue: [NONE]

Feedback:
",Prepare the 4th arm for the next step.
open some more of that dont work in a hole,[NONE],"[open more, don't work]",[NONE],"('[NONE]', ""[open more, don't work]"", '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open more, don't work], tissue: [NONE]

Feedback:
",Open more for better visualization.
buzz buzz buzz open it,[electrocautery],"[buzz, open]",[NONE],"('[electrocautery]', '[buzz, open]', '[NONE]')","IAT Triplet:
instrument: [electrocautery], action: [buzz, open], tissue: [NONE]

Feedback:
",Use electrocautery to buzz and open the tissue.
lift better w your L hand,[left hand],[lift better],[NONE],"('[left hand]', '[lift better]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [lift better], tissue: [NONE]

Feedback:
",Lift better with your left hand.
"lets put 4th arm in there, lift up, hand over hand maneuver",[4th arm],"[put, lift up, maneuver]",[NONE],"('[4th arm]', '[put, lift up, maneuver]', '[NONE]')","IAT Triplet:
instrument: [4th arm], action: [put, lift up, maneuver], tissue: [NONE]

Feedback:
",Use the 4th arm to lift and maneuver as needed.
Tuck r arm under,[right hand],[Tuck],[NONE],"('[right hand]', '[Tuck]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [Tuck], tissue: [NONE]

Feedback:
","Tuck carefully with the right hand, ensuring no tissue is involved."
watch...what are you doing?,[NONE],[watch],[NONE],"('[NONE]', '[watch]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [watch], tissue: [NONE]

Feedback:
",Maintain focus and observe the surgical field closely.
change your instrument,[instrument],[change],[NONE],"('[instrument]', '[change]', '[NONE]')","IAT Triplet:
instrument: [instrument], action: [change], tissue: [NONE]

Feedback:
",Change the instrument as needed.
so you dropped all the colon and lifted ureter?,[NONE],[NONE],"[colon, ureter]","('[NONE]', '[NONE]', '[colon, ureter]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [colon, ureter]

Feedback:
",Focus on the colon and ureter for precise dissection.
go slow,[NONE],[go slow],[NONE],"('[NONE]', '[go slow]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go slow], tissue: [NONE]

Feedback:
",Proceed with caution and maintain a slow pace.
bipolar that,[bipolar],[bipolar that],[NONE],"('[bipolar]', '[bipolar that]', '[NONE]')","IAT Triplet:
instrument: [bipolar], action: [bipolar that], tissue: [NONE]

Feedback:
","Use the bipolar instrument carefully, ensuring precise application."
keep the jaws open a little bit,[graspers],[keep open],[NONE],"('[graspers]', '[keep open]', '[NONE]')","IAT Triplet:
instrument: [graspers], action: [keep open], tissue: [NONE]

Feedback:
",Maintain the graspers open for better visibility.
create some more of that plane posteriorly,[NONE],[create more],[NONE],"('[NONE]', '[create more]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [create more], tissue: [NONE]

Feedback:
",Specify the action and tissue for precise guidance.
"drop the psoas sheets down, stay above psoas sheets",[NONE],"[drop, stay]",[psoas sheets],"('[NONE]', '[drop, stay]', '[psoas sheets]')","IAT Triplet:
instrument: [NONE], action: [drop, stay], tissue: [psoas sheets]

Feedback:
",Maintain position on the psoas sheets.
advance your 4th arm in there and lift up,[4th arm],"[advance, lift up]",[NONE],"('[4th arm]', '[advance, lift up]', '[NONE]')","IAT Triplet:
instrument: [4th arm], action: [advance, lift up], tissue: [NONE]

Feedback:
",Advance and lift up with the 4th arm carefully.
easy...this is a vein,[NONE],[NONE],[vein],"('[NONE]', '[NONE]', '[vein]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vein]

Feedback:
",Ensure the vein is protected during the procedure.
I want you to pull away from the vital structureswhen buzzing,[NONE],[pull away],[vital structures],"('[NONE]', '[pull away]', '[vital structures]')","IAT Triplet:
instrument: [NONE], action: [pull away], tissue: [vital structures]

Feedback:
",Avoid pulling away from vital structures.
yeah so start from below and work your way up,[NONE],"[start, work]",[NONE],"('[NONE]', '[start, work]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [start, work], tissue: [NONE]

Feedback:
",Proceed with the task as planned.
clean your hook,[hook],[clean],[NONE],"('[hook]', '[clean]', '[NONE]')","IAT Triplet:
instrument: [hook], action: [clean], tissue: [NONE]

Feedback:
",Clean the hook instrument thoroughly before proceeding.
start at this bend,[NONE],[start],[NONE],"('[NONE]', '[start]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [start], tissue: [NONE]

Feedback:
",Initiate the procedure when ready.
cook it,[NONE],[cook],[NONE],"('[NONE]', '[cook]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cook], tissue: [NONE]

Feedback:
",Clarify the action and tissue before proceeding.
clean your hook,[hook],[clean],[NONE],"('[hook]', '[clean]', '[NONE]')","IAT Triplet:
instrument: [hook], action: [clean], tissue: [NONE]

Feedback:
",Clean the hook instrument thoroughly before proceeding.
"one strand at a time, up and down, every vessel",[NONE],[NONE],[vessel],"('[NONE]', '[NONE]', '[vessel]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [vessel]

Feedback:
",Ensure vessel integrity is maintained.
now cut in the middle,[NONE],[cut],[NONE],"('[NONE]', '[cut]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [cut], tissue: [NONE]

Feedback:
",Specify the instrument and tissue before proceeding with the cut.
"ok wait for a sec, we dont need to do that, release that",[NONE],"[wait, release]",[NONE],"('[NONE]', '[wait, release]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [wait, release], tissue: [NONE]

Feedback:
",Pause and release gently.
ok stop for a second...(discusses next portion of case),[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
dont go there yet..stop for a sec,[NONE],[stop],[NONE],"('[NONE]', '[stop]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [stop], tissue: [NONE]

Feedback:
",Pause and reassess the situation.
"ok free up the rest, we dont need to take adrenal, hug surface and keep a lot of fat on kidney",[NONE],"[free up, hug, keep]","[adrenal, surface, fat, kidney]","('[NONE]', '[free up, hug, keep]', '[adrenal, surface, fat, kidney]')","IAT Triplet:
instrument: [NONE], action: [free up, hug, keep], tissue: [adrenal, surface, fat, kidney]

Feedback:
",Free up the fat around the kidney.
ok grab it,[NONE],[grab],[NONE],"('[NONE]', '[grab]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [grab], tissue: [NONE]

Feedback:
",Ensure the instrument is correctly positioned before grabbing.
Dont get into pancreas,[NONE],[do not get into],[pancreas],"('[NONE]', '[do not get into]', '[pancreas]')","IAT Triplet:
instrument: [NONE], action: [do not get into], tissue: [pancreas]

Feedback:
",Avoid getting into the pancreas.
if he has plenty of adipose tissue,[NONE],[NONE],[adipose tissue],"('[NONE]', '[NONE]', '[adipose tissue]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [adipose tissue]

Feedback:
",Identify and manage the adipose tissue carefully.
don't get into the adrenal gland,[NONE],[avoid],[adrenal gland],"('[NONE]', '[avoid]', '[adrenal gland]')","IAT Triplet:
instrument: [NONE], action: [avoid], tissue: [adrenal gland]

Feedback:
",Avoid the adrenal gland.
start from below and work your way up,[NONE],"[start, work]",[NONE],"('[NONE]', '[start, work]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [start, work], tissue: [NONE]

Feedback:
",Begin the procedure when ready.
"even below the lower pole, like almost from the pelvic brim, that way you can rotate the kidney nicely",[NONE],[NONE],"[pelvic brim, kidney]","('[NONE]', '[NONE]', '[pelvic brim, kidney]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [pelvic brim, kidney]

Feedback:
",Focus on the pelvic brim and kidney for the next steps.
ok start a little higher,[NONE],[start higher],[NONE],"('[NONE]', '[start higher]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [start higher], tissue: [NONE]

Feedback:
",Adjust your starting position to a higher point.
start somewhere there,[NONE],[start],[NONE],"('[NONE]', '[start]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [start], tissue: [NONE]

Feedback:
",Initiate the procedure when ready.
the point of excision is good on the ureter because right now you have two points of excision.,[NONE],[NONE],[ureter],"('[NONE]', '[NONE]', '[ureter]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [ureter]

Feedback:
",Focus on the ureter. Ensure clear visualization and avoid unnecessary manipulation.
get to the psoas and then work youre way,[NONE],"[get, work]",[psoas],"('[NONE]', '[get, work]', '[psoas]')","IAT Triplet:
instrument: [NONE], action: [get, work], tissue: [psoas]

Feedback:
",Focus on the psoas muscle.
remain in the correct fat plane so youre not getting the abd wall fat; You're between the abdominal wall fat and the kidney,[NONE],[remain],"[fat plane, abdominal wall fat, kidney]","('[NONE]', '[remain]', '[fat plane, abdominal wall fat, kidney]')","IAT Triplet:
instrument: [NONE], action: [remain], tissue: [fat plane, abdominal wall fat, kidney]

Feedback:
",Maintain position in the fat plane near the kidney.
"its ok, make the correction",[NONE],[make correction],[NONE],"('[NONE]', '[make correction]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [make correction], tissue: [NONE]

Feedback:
",Make the necessary correction.
be careful dont hit diaphragm w the hook,[hook],"[be careful, don't hit]",[diaphragm],"('[hook]', ""[be careful, don't hit]"", '[diaphragm]')","IAT Triplet:
instrument: [hook], action: [be careful, don't hit], tissue: [diaphragm]

Feedback:
",Be careful with the hook; avoid hitting the diaphragm.
be gentle dont poke the tumor,[NONE],"[be gentle, don't poke]",[tumor],"('[NONE]', ""[be gentle, don't poke]"", '[tumor]')","IAT Triplet:
instrument: [NONE], action: [be gentle, don't poke], tissue: [tumor]

Feedback:
","Be gentle with the tumor, avoid poking."
"stay in the flimflam, dont get in body wall",[NONE],"[stay, don't get]","[NONE, body wall]","('[NONE]', ""[stay, don't get]"", '[NONE, body wall]')","IAT Triplet:
instrument: [NONE], action: [stay, don't get], tissue: [NONE, body wall]

Feedback:
","Maintain position, avoid contact with the body wall."
"stay close to kidney, right there yeah get to correct plane",[NONE],"[stay close, get to correct plane]",[kidney],"('[NONE]', '[stay close, get to correct plane]', '[kidney]')","IAT Triplet:
instrument: [NONE], action: [stay close, get to correct plane], tissue: [kidney]

Feedback:
",Stay close to the kidney and get to the correct plane.
"find the correct plane here, right there, and work your way up",[NONE],"[find, work]",[NONE],"('[NONE]', '[find, work]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [find, work], tissue: [NONE]

Feedback:
",Focus on identifying the target area before proceeding.
get into that spot right there,[NONE],[get into],[NONE],"('[NONE]', '[get into]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [get into], tissue: [NONE]

Feedback:
",Proceed to the next step when ready.
something is hitting R arm,[right hand],[NONE],[NONE],"('[right hand]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [NONE], tissue: [NONE]

Feedback:
",Maintain awareness of your right-hand position.
"release all this, get into the right plane",[NONE],"[release, get into]",[NONE],"('[NONE]', '[release, get into]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [release, get into], tissue: [NONE]

Feedback:
",Release and reposition as needed.
ok i think take the ureter and then you lift up and go to upper pole,[NONE],"[take, lift up, go]","[ureter, upper pole]","('[NONE]', '[take, lift up, go]', '[ureter, upper pole]')","IAT Triplet:
instrument: [NONE], action: [take, lift up, go], tissue: [ureter, upper pole]

Feedback:
",Lift the upper pole of the ureter gently.
staple across the ureter and whole shebang,[stapler],[staple],[ureter],"('[stapler]', '[staple]', '[ureter]')","IAT Triplet:
instrument: [stapler], action: [staple], tissue: [ureter]

Feedback:
",Avoid stapling the ureter; consider alternative methods.
you can go a little higher,[NONE],[go higher],[NONE],"('[NONE]', '[go higher]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [go higher], tissue: [NONE]

Feedback:
",Adjust your position slightly higher.
"Then we're going to not change the position, extract in this position, then close it, and then we'll take another look inside.",[NONE],"[extract, close, take another look]",[NONE],"('[NONE]', '[extract, close, take another look]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [extract, close, take another look], tissue: [NONE]

Feedback:
",Take another look before proceeding.
go along the psoas all the way toward the spleen,[NONE],[go along],"[psoas, spleen]","('[NONE]', '[go along]', '[psoas, spleen]')","IAT Triplet:
instrument: [NONE], action: [go along], tissue: [psoas, spleen]

Feedback:
",Go along the psoas and spleen carefully.
drop it from the pale end first and fill it,[NONE],"[drop, fill]",[NONE],"('[NONE]', '[drop, fill]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [drop, fill], tissue: [NONE]

Feedback:
",Ensure the action is appropriate for the current surgical step.
dont rip the tumor,[NONE],[rip],[NONE],"('[NONE]', '[rip]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [rip], tissue: [NONE]

Feedback:
",Avoid ripping; ensure precise control and gentle handling.
typically i do 2 stitches,[stitches],[NONE],[NONE],"('[stitches]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [stitches], action: [NONE], tissue: [NONE]

Feedback:
",Ensure stitches are ready for the next step.
put your R hand there and gently...like your finger,[right hand],"[put, gently]",[NONE],"('[right hand]', '[put, gently]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [put, gently], tissue: [NONE]

Feedback:
",Gently position the right hand.
"yeah, complete the dissection...well call it...getting off skin of orange",[NONE],[complete],[NONE],"('[NONE]', '[complete]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [complete], tissue: [NONE]

Feedback:
",Ensure all steps are completed before proceeding.
instead of grabbing it i put L hand inside,[left hand],[NONE],[NONE],"('[left hand]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [left hand], action: [NONE], tissue: [NONE]

Feedback:
",Position your left hand for optimal control.
"and with the R hand, bluntly, now that youre in a good plane go close to prostate",[left hand],[go close],[prostate],"('[left hand]', '[go close]', '[prostate]')","IAT Triplet:
instrument: [left hand], action: [go close], tissue: [prostate]

Feedback:
",Move your left hand closer to the prostate.
I do like to see capsule fibers,[NONE],[NONE],[capsule fibers],"('[NONE]', '[NONE]', '[capsule fibers]')","IAT Triplet:
instrument: [NONE], action: [NONE], tissue: [capsule fibers]

Feedback:
",Focus on the capsule fibers for precise dissection.
keep your hand there... R hand there...swing like this,[right hand],"[keep, swing]",[NONE],"('[right hand]', '[keep, swing]', '[NONE]')","IAT Triplet:
instrument: [right hand], action: [keep, swing], tissue: [NONE]

Feedback:
",Maintain control of the right hand while swinging.
"when you do open you put your finger there, tip a little bit anterior...gently do like this...",[NONE],"[open, put, tip, do]",[NONE],"('[NONE]', '[open, put, tip, do]', '[NONE]')","IAT Triplet:
instrument: [NONE], action: [open, put, tip, do], tissue: [NONE]

Feedback:
",Clarify your action and target tissue for precise guidance.
no reason your scissors cannot do that job,[scissors],[NONE],[NONE],"('[scissors]', '[NONE]', '[NONE]')","IAT Triplet:
instrument: [scissors], action: [NONE], tissue: [NONE]

Feedback:
",Position the scissors for the next step.
keep ...up so doesnt perforate capsule and swing swing swing,[NONE],"[keep up, swing]",[capsule],"('[NONE]', '[keep up, swing]', '[capsule]')","IAT Triplet:
instrument: [NONE], action: [keep up, swing], tissue: [capsule]

Feedback:
",Keep up the swing on the capsule.
"yeah exactly, bovie that",[bovie],[bovie],[NONE],"('[bovie]', '[bovie]', '[NONE]')","IAT Triplet:
instrument: [bovie], action: [bovie], tissue: [NONE]

Feedback:
","Use the bovie cautiously, ensuring no unintended tissue contact."
