dialogue,timestamp,case,cvid,instrument,action,tissue
more lift,17:00:08,7,c7_s0_0-16-46.avi,[NONE],[lift more],[NONE]
"she is doing such a great job, i have nothing to say",17:03:05,7,c7_s0_0-19-43.avi,[NONE],[NONE],[NONE]
"focus on hilum, get that taken care of, as long as you have good enough exposure, rest of case piece of cake",17:04:00,7,c7_s0_0-20-38.avi,[NONE],"[focus, get]",[NONE]
*responding to q* I stop checking number of arteries and veins beasue i assume there are going to be many,17:04:22,7,c7_s0_0-21-0.avi,[NONE],[NONE],"[arteries, veins]"
I dont think thats...,17:05:08,7,c7_s0_0-21-46.avi,[NONE],[NONE],[NONE]
"that looks too small, looks like there are 2 veins",17:05:12,7,c7_s0_0-21-50.avi,[NONE],[NONE],[veins]
that lower one is way to small to be [primary],17:05:20,7,c7_s0_0-21-58.avi,[NONE],[NONE],[NONE]
open that up and do a better lift,17:05:27,7,c7_s0_0-22-5.avi,[NONE],"[open, do a better lift]",[NONE]
nice and gentle,17:05:44,7,c7_s0_0-22-22.avi,[NONE],[NONE],[NONE]
ok thats plenty,17:05:46,7,c7_s0_0-22-24.avi,[NONE],[NONE],[NONE]
Thats fine but get around it first tho,17:05:49,7,c7_s0_0-22-27.avi,[NONE],[get around],[NONE]
you want a wash?,17:07:54,7,c7_s0_0-24-32.avi,[NONE],[NONE],[NONE]
"yes you can, how do you want to take it though",17:07:55,7,c7_s0_0-24-33.avi,[NONE],[NONE],[NONE]
"um, let me see how wecks looks...if goes nicely around and plenty of room",17:08:03,7,c7_s0_0-24-41.avi,[NONE],[NONE],[NONE]
um something bad happened?,17:08:19,7,c7_s0_0-24-57.avi,[NONE],[NONE],[NONE]
prob wiped it from memory...what happened?,17:08:22,7,c7_s0_0-25-0.avi,[NONE],[NONE],[NONE]
i cant see my tips,17:08:32,7,c7_s0_0-25-10.avi,[NONE],[NONE],[NONE]
see how forgiving i am,17:08:45,7,c7_s0_0-25-23.avi,[NONE],[NONE],[NONE]
I was going to put another clip there,17:09:28,7,c7_s0_0-26-6.avi,[clip],[NONE],[NONE]
thats ok,17:09:30,7,c7_s0_0-26-8.avi,[NONE],[NONE],[NONE]
too late,17:09:33,7,c7_s0_0-26-11.avi,[NONE],[NONE],[NONE]
give that a little buzz,17:11:38,7,c7_s0_0-28-16.avi,[electrocautery],[give a little buzz],[NONE]
yeah the stump,17:11:41,7,c7_s0_0-28-19.avi,[NONE],[NONE],[NONE]
youre way over here in the boonies take care of the hilum,17:13:18,7,c7_s0_0-29-56.avi,[NONE],[take care],[NONE]
you can but you are way over here...you are not gonna find psoas here right?,17:13:28,7,c7_s0_0-30-6.avi,[NONE],[NONE],[NONE]
"so fine, if you want to find psoas thats legit, but find it here, dont find it out here, find it right off the superior edge of the vein",17:13:33,7,c7_s0_0-30-11.avi,[NONE],"[find, don't find, find]","[psoas, superior edge of the vein]"
buzz that real quick,17:14:14,7,c7_s0_0-30-52.avi,[NONE],[buzz],[NONE]
"grab it hold here, ok ok thats fine",17:14:18,7,c7_s0_0-30-56.avi,[NONE],"[grab, hold]",[NONE]
how do you want to take artery?,17:14:38,7,c7_s0_0-31-16.avi,[NONE],[NONE],[NONE]
"no, you want to end bloc it?",17:14:41,7,c7_s0_0-31-19.avi,[NONE],[bloc it],[NONE]
"i guess you could, yeah sure",17:14:45,7,c7_s0_0-31-23.avi,[NONE],[NONE],[NONE]
"Ive never done this before, but this kinda works",17:14:57,7,c7_s0_0-31-35.avi,[NONE],[NONE],[NONE]
you ready for it?,17:15:02,7,c7_s0_0-31-40.avi,[NONE],[NONE],[NONE]
can you articulate just a touch,17:15:07,7,c7_s0_0-31-45.avi,[NONE],[articulate just a touch],[NONE]
hold on hold on ok lets try that,17:15:16,7,c7_s0_0-31-54.avi,[NONE],"[hold on, try that]",[NONE]
I just need to come in a little bit more,17:15:37,7,c7_s0_0-32-15.avi,[NONE],[NONE],[NONE]
are you ok with that,17:15:44,7,c7_s0_0-32-22.avi,[NONE],[NONE],[NONE]
you fire the stapler and it jams what do you do?,17:16:07,7,c7_s0_0-32-45.avi,[stapler],[NONE],[NONE]
uh huh it doesn't release,17:16:16,7,c7_s0_0-32-54.avi,[NONE],[NONE],[NONE]
wrong answer,17:16:18,7,c7_s0_0-32-56.avi,[NONE],[NONE],[NONE]
do you know where that is?,17:16:24,7,c7_s0_0-33-2.avi,[NONE],[NONE],[NONE]
thats first yup you do that first to reverse,17:16:40,7,c7_s0_0-33-18.avi,[NONE],[NONE],[NONE]
and what else could you do? so thats the first thing you have to do and then?,17:16:43,7,c7_s0_0-33-21.avi,[NONE],[NONE],[NONE]
"it doesn't...nothing happens. So first most important is reverse, and then... thing in here you can crank...and will open but have to reverse first.",17:16:52,7,c7_s0_0-33-30.avi,[NONE],"[reverse, crank]",[NONE]
ok lets say that still doesnt work...these are the scariest things that happen,17:17:10,7,c7_s0_0-33-48.avi,[NONE],[NONE],[NONE]
"so this particular step right here...we have done nephrectomies before, right? do you remember what i like to have done here",17:17:28,7,c7_s0_0-34-6.avi,[NONE],[NONE],[NONE]
"well thats part of it, what else? you have not done it yet",17:17:44,7,c7_s0_0-34-22.avi,[NONE],[NONE],[NONE]
"I like to open up everything here laterally here, as lateral as you can and as cephalad as you can",17:17:51,7,c7_s0_0-34-29.avi,[NONE],[open up],[NONE]
"all that, yup, good",17:18:00,7,c7_s0_0-34-38.avi,[NONE],[NONE],[NONE]
"and cephalad, as far north as it will take you",17:18:04,7,c7_s0_0-34-42.avi,[NONE],[NONE],[NONE]
and i will take care of the liver for you,17:18:11,7,c7_s0_0-34-49.avi,[NONE],[NONE],[liver]
I aways do that and then here...,17:18:13,7,c7_s0_0-34-51.avi,[NONE],[NONE],[NONE]
"yeah, so here in the peritoneum stay as high as you can",17:18:17,7,c7_s0_0-34-55.avi,[NONE],[stay high],[peritoneum]
"I wouldnt do that much yet...the reason is bc i want to start from here and start to see adrenal and march lateral to that and you dont know that yet, so i wouldnt even bother scoring the adrenal",17:18:27,7,c7_s0_0-35-5.avi,[NONE],"[start, start, march]",[adrenal]
"so you start here, this is where i want you to start",17:18:48,7,c7_s0_0-35-26.avi,[NONE],[start],[NONE]
"and as you go this way, youll see lateral edge of adrenal yes?",17:18:51,7,c7_s0_0-35-29.avi,[NONE],[NONE],[lateral edge of adrenal]
you dont know what level you will hit it so theres no reason to score the peritoneum yet,17:18:57,7,c7_s0_0-35-35.avi,[NONE],[NONE],[peritoneum]
"so if youve done this properly youre gonna come across lateral edge of adrenal, but i want you to stay as lateral as possible, last thing you want to do is get into adrenal",17:19:06,7,c7_s0_0-35-44.avi,[NONE],"[come across, stay as lateral as possible]","[lateral edge of adrenal, adrenal]"
"well, youre gonna hit the corner, know how its pyramidal shape?",17:19:22,7,c7_s0_0-36-0.avi,[NONE],[hit],[NONE]
you can but....you dont need to,17:19:35,7,c7_s0_0-36-13.avi,[NONE],[NONE],[NONE]
and the reason why i dont do the...,17:19:49,7,c7_s0_0-36-27.avi,[NONE],[NONE],[NONE]
make sure these vessels get cooked really nicely,17:19:53,7,c7_s0_0-36-31.avi,[NONE],[make sure],[vessels]
"the liver retractor i just dont deal w bc unless you had to is because i dont like the locking alice, causes all sorts of problems",17:19:59,7,c7_s0_0-36-37.avi,"[liver retractor, locking alice]",[NONE],[liver]
"so this is the key thing right, the reason why i like this open here is then narrow patch..of taking this",17:22:56,7,c7_s0_0-39-34.avi,[NONE],[NONE],[NONE]
so now youre opening peritoneum in more appropriate manner bc you know exactly where you had to be,17:23:09,7,c7_s0_0-39-47.avi,[NONE],[NONE],[peritoneum]
"yeah i dont think...cause youre going up more, i would this thin out more uh huh there un huh",17:23:26,7,c7_s0_0-40-4.avi,[NONE],[thin out more],[NONE]
"and now its very easy, now youre taking down thru here,",17:23:32,7,c7_s0_0-40-10.avi,[NONE],[NONE],[NONE]
"but make sure... this can  be part of very annoying bleeding after, bc perforating adrenal vessels, alright",17:23:37,7,c7_s0_0-40-15.avi,[NONE],[NONE],[adrenal vessels]
do you want to clean?,17:24:20,7,c7_s0_0-40-58.avi,[NONE],[CLEAN],[NONE]
I can see ok,17:24:25,7,c7_s0_0-41-3.avi,[NONE],[NONE],[NONE]
i dont like -- hold on for a sec -- i dont like digging into tissue thats just a big mat of tissue,17:26:54,7,c7_s0_0-43-32.avi,[NONE],[NONE],[tissue]
"I would rather you work from leading edge here, why? you can see the back end of this,",17:27:02,7,c7_s0_0-43-40.avi,[NONE],[work from leading edge],[NONE]
"work layer by layer starting from here and progressing this way,",17:27:10,7,c7_s0_0-43-48.avi,[NONE],"[start working, progress]",[NONE]
"when you work from big blob of tissue and dig into it, dont know where vessels are, no warning",17:27:15,7,c7_s0_0-43-53.avi,[NONE],[NONE],"[tissue, vessels]"
so work from this starting edge here and march deeper as you go,17:27:24,7,c7_s0_0-44-2.avi,[NONE],"[work, march deeper]",[NONE]
"so here I stop when you get to lateral wall, which is just a tiny bit more and youre good",17:29:01,7,c7_s0_0-45-39.avi,[NONE],[NONE],[lateral wall]
so i think you can go to the other side,17:29:37,7,c7_s0_0-46-15.avi,[NONE],[go to the other side],[NONE]
you dont need to do that,17:30:16,7,c7_s0_0-46-54.avi,[NONE],[NONE],[NONE]
"you dont need a window, i dont need a window",17:30:21,7,c7_s0_0-46-59.avi,[NONE],[NONE],[NONE]
"same strategy applies here, when youre doing this part...i want to see posterior plane...this is easy part of the case...i want to see posterior plane that you have developed",17:31:56,7,c7_s0_0-48-34.avi,[NONE],"[see posterior plane, see posterior plane]",[NONE]
"and this is not great exposure tho, so get it so that its nice",17:32:17,7,c7_s0_0-48-55.avi,[NONE],[get it],[NONE]
"I do have a point to make here; assuming that you took all this nicely, there, yes?",17:32:24,7,c7_s0_0-49-2.avi,[NONE],[NONE],[NONE]
"then as you take this - hold on i want to see both planes, i want to see anterior and and posterior, okay",17:32:35,7,c7_s0_0-49-13.avi,[NONE],"[hold on, show both, show anterior and posterior]","[planes, anterior, posterior]"
"now this is super easy, but if this was an xgp kidney this would rly suck so you need anatomic cues of this side and this side and its easier, appreciate in simpleeasy case like this, and then in xgp when everything is stuck, find both planes",17:32:44,7,c7_s0_0-49-22.avi,[NONE],"[appreciate, find]",[NONE]
no..it could not have been my case,17:33:17,7,c7_s0_0-49-55.avi,[NONE],[NONE],[NONE]
"I always come from below, its easier",17:33:29,7,c7_s0_0-50-7.avi,[NONE],[NONE],[NONE]
keep that posterior exposure and anterior exposure and here you just have to pull and it will fall off,17:34:18,7,c7_s0_0-50-56.avi,[NONE],[pull],[NONE]
are you free?,17:35:01,7,c7_s0_0-51-39.avi,[NONE],[NONE],[NONE]
Im going to switch your air seal ok?,17:35:04,7,c7_s0_0-51-42.avi,[NONE],[NONE],[NONE]
"yup, go go",15:32:49,8,c8_s0_0-0-30.avi,[NONE],[go],[NONE]
take it open behind it,15:34:05,8,c8_s0_0-1-46.avi,[NONE],[take],[NONE]
behind it,15:34:11,8,c8_s0_0-1-52.avi,[NONE],[NONE],[NONE]
come back look to the right,15:34:28,8,c8_s0_0-2-9.avi,[NONE],"[come back, look to the right]",[NONE]
yeah get all that stuff,15:34:34,8,c8_s0_0-2-15.avi,[NONE],[get],[NONE]
yeah hitting the patient body,15:34:51,8,c8_s0_0-2-32.avi,[NONE],[NONE],[NONE]
"dont hold it close to bowel, up and stay up",15:35:13,8,c8_s0_0-2-54.avi,[NONE],"[hold, stay]",[bowel]
cut cold,15:35:16,8,c8_s0_0-2-57.avi,[NONE],[cut],[NONE]
"ok you see junction between bright yellow fat and pale yellow fat,",15:35:25,8,c8_s0_0-3-6.avi,[NONE],[NONE],[NONE]
"dont go up, stay far down there work on the easy part",15:35:28,8,c8_s0_0-3-9.avi,[NONE],"[stay far, work]",[NONE]
"yeah, correct, so stay at the junction between the two.",15:35:34,8,c8_s0_0-3-15.avi,[NONE],[stay],[NONE]
ok let go boom boom,15:35:39,8,c8_s0_0-3-20.avi,[NONE],[let go],[NONE]
"stay in the correct plane, yup, between the two fascial layers",15:35:44,8,c8_s0_0-3-25.avi,[NONE],[stay],[fascial layers]
thats not the correct plane...its between the two fascial layers,15:35:48,8,c8_s0_0-3-29.avi,[NONE],[NONE],[fascial layers]
just cut it,15:36:01,8,c8_s0_0-3-42.avi,[NONE],[cut],[NONE]
dont cut into yellow fat,15:36:13,8,c8_s0_0-3-54.avi,[NONE],[avoid cutting],[yellow fat]
cut cut cut,15:36:27,8,c8_s0_0-4-8.avi,[NONE],[cut],[NONE]
be careful there might be divertiuli between the epipolic appendices,15:36:31,8,c8_s0_0-4-12.avi,[NONE],[NONE],"[diverticuli, epiploic appendices]"
see the tic there?,15:36:41,8,c8_s0_0-4-22.avi,[NONE],[NONE],[NONE]
might be a tic in there so be careful,15:36:45,8,c8_s0_0-4-26.avi,[NONE],[be careful],[NONE]
stay sharp,15:36:52,8,c8_s0_0-4-33.avi,[NONE],[stay sharp],[NONE]
"stay in the junction  between the bright yellow fat and the other fat, and stay between the two fascia layers to whatever extent it's possible.",15:36:55,8,c8_s0_0-4-36.avi,[NONE],"[stay in the junction, stay between the two fascia layers]","[fat, fascia layers]"
"mmhm...i mean sometimes it is not possible, but try and stay",15:37:13,8,c8_s0_0-4-54.avi,[NONE],"[try, stay]",[NONE]
your 4th arm,15:38:52,8,c8_s0_0-6-33.avi,[4th arm],[NONE],[NONE]
see where your 4th arm is,15:39:02,8,c8_s0_0-6-43.avi,[4th arm],[see],[NONE]
yeah youre good,15:39:12,8,c8_s0_0-6-53.avi,[NONE],[NONE],[NONE]
"yeah, careful where bowel is,",15:39:43,8,c8_s0_0-7-24.avi,[NONE],[NONE],[bowel]
thats your plane,15:39:47,8,c8_s0_0-7-28.avi,[NONE],[NONE],[NONE]
stop for a second are you getting into the thing?,15:39:49,8,c8_s0_0-7-30.avi,[NONE],[stop],[NONE]
Good,15:40:23,8,c8_s0_0-8-4.avi,[NONE],[NONE],[NONE]
carry all the way to the right,15:41:39,8,c8_s0_0-9-20.avi,[NONE],[carry],[NONE]
"yup, be careful",15:41:50,8,c8_s0_0-9-31.avi,[NONE],[be careful],[NONE]
yup,15:42:54,8,c8_s0_0-10-35.avi,[NONE],[NONE],[NONE]
always remember dont work in a hole,15:43:23,8,c8_s0_0-11-4.avi,[NONE],[NONE],[NONE]
yup,15:44:17,8,c8_s0_0-11-58.avi,[NONE],[NONE],[NONE]
what are you doing?,15:45:10,8,c8_s0_0-12-51.avi,[NONE],[NONE],[NONE]
youre not causing any damage?,15:45:16,8,c8_s0_0-12-57.avi,[NONE],[NONE],[NONE]
take all of that down,15:46:42,8,c8_s0_0-14-23.avi,[NONE],[take down],[NONE]
bowel on other side,15:46:56,8,c8_s0_0-14-37.avi,[NONE],[NONE],[bowel]
"move camera, gonna throw up",15:47:09,8,c8_s0_0-14-50.avi,[camera],[move],[NONE]
"look in here, is this ureter?",15:47:39,8,c8_s0_0-15-20.avi,[NONE],[look],[ureter]
idk look,15:47:49,8,c8_s0_0-15-30.avi,[NONE],[NONE],[NONE]
this is your junction right in here,15:48:24,8,c8_s0_0-16-5.avi,[NONE],[NONE],[NONE]
dont let me do it,15:48:31,8,c8_s0_0-16-12.avi,[NONE],[do not let],[NONE]
go go go come on,15:48:36,8,c8_s0_0-16-17.avi,[NONE],[go],[NONE]
popped in a little deep you see that right?,15:48:39,8,c8_s0_0-16-20.avi,[NONE],[NONE],[NONE]
"there you go, made a little nic in gerotias",15:48:44,8,c8_s0_0-16-25.avi,[NONE],[NONE],[Gerota's fascia]
carry it as high as you can go then i would say get your 4th arm lift up get under it,15:48:59,8,c8_s0_0-16-40.avi,[4th arm],"[carry, get, lift, get]",[NONE]
good,15:49:04,8,c8_s0_0-16-45.avi,[NONE],[NONE],[NONE]
hitting w your R arm,15:49:41,8,c8_s0_0-17-22.avi,[right hand],[NONE],[NONE]
tuck it under your chin,15:49:44,8,c8_s0_0-17-25.avi,[NONE],[tuck],[NONE]
you can or grab,15:49:55,8,c8_s0_0-17-36.avi,[NONE],[NONE],[NONE]
look for gonadal and ureter,15:50:05,8,c8_s0_0-17-46.avi,[NONE],[look],"[gondal, ureter]"
"nope, further down...lower pole and then we march up",15:50:08,8,c8_s0_0-17-49.avi,[NONE],"[go further down, march up]",[lower pole]
"imv stuff that we talked about, prob gonna be here",15:50:14,8,c8_s0_0-17-55.avi,[NONE],[NONE],[NONE]
right in here x2 i think this might be it right?,15:50:20,8,c8_s0_0-18-1.avi,[NONE],[NONE],[NONE]
"your L hands not doing anthing, pull towards cam",15:50:31,8,c8_s0_0-18-12.avi,"[left hand, camera]",[pull towards],[NONE]
"there you go, see the difference? its dynamic",15:50:36,8,c8_s0_0-18-17.avi,[NONE],[NONE],[NONE]
regrab,15:50:48,8,c8_s0_0-18-29.avi,[NONE],[regrab],[NONE]
good,15:50:55,8,c8_s0_0-18-36.avi,[NONE],[NONE],[NONE]
gonadal right? lets find ureter,15:51:10,8,c8_s0_0-18-51.avi,[NONE],[find],"[gonadal, ureter]"
stop that bleeding right there,15:51:14,8,c8_s0_0-18-55.avi,[NONE],[stop],[NONE]
"in here, ureter here",15:51:18,8,c8_s0_0-18-59.avi,[NONE],[NONE],[ureter]
"goal is to get under, lift kidney up...so whats going to be under it?",15:51:22,8,c8_s0_0-19-3.avi,[NONE],[NONE],[kidney]
whats the floor?,15:51:32,8,c8_s0_0-19-13.avi,[NONE],[NONE],[NONE]
psoas right? so look for psoas here,15:51:34,8,c8_s0_0-19-15.avi,[NONE],[look],[psoas]
yup and i think you may have found it,15:51:40,8,c8_s0_0-19-21.avi,[NONE],[NONE],[NONE]
sweep up,15:51:46,8,c8_s0_0-19-27.avi,[NONE],[sweep up],[NONE]
watch the ureter...,15:51:52,8,c8_s0_0-19-33.avi,[NONE],[watch],[ureter]
get in with L hand and lift up,15:52:14,8,c8_s0_0-19-55.avi,[left hand],"[get in, lift up]",[NONE]
"sweep down, there",15:52:18,8,c8_s0_0-19-59.avi,[NONE],[sweep down],[NONE]
Now careful bc if you get under the fascia of psoas youre gonna bleed,15:52:20,8,c8_s0_0-20-1.avi,[NONE],[NONE],[fascia of psoas]
"get into right plane, might be a little deep there",15:52:25,8,c8_s0_0-20-6.avi,[NONE],[get into],[NONE]
see how its very shiny? might be a layer too deep,15:52:31,8,c8_s0_0-20-12.avi,[NONE],[NONE],[NONE]
come to this layer,15:52:38,8,c8_s0_0-20-19.avi,[NONE],[come],[NONE]
yeah I want to lift it up,15:52:40,8,c8_s0_0-20-21.avi,[NONE],[lift up],[NONE]
stay above that tendon,15:52:45,8,c8_s0_0-20-26.avi,[NONE],[stay above],[tendon]
just buzz those vessels,15:52:48,8,c8_s0_0-20-29.avi,[electrocautery],[buzz],[vessels]
a little more than that,15:52:53,8,c8_s0_0-20-34.avi,[NONE],[NONE],[NONE]
now get ready with 4th arm,15:52:57,8,c8_s0_0-20-38.avi,[4th arm],[get ready],[NONE]
open some more of that dont work in a hole,15:53:01,8,c8_s0_0-20-42.avi,[NONE],"[open more, don't work]",[NONE]
buzz buzz buzz open it,15:53:17,8,c8_s0_0-20-58.avi,[electrocautery],"[buzz, open]",[NONE]
lift better w your L hand,15:53:19,8,c8_s0_0-21-0.avi,[left hand],[lift better],[NONE]
"ok now thats not your grave, good",15:53:28,8,c8_s0_0-21-9.avi,[NONE],[NONE],[NONE]
"lets put 4th arm in there, lift up, hand over hand maneuver",15:53:30,8,c8_s0_0-21-11.avi,[4th arm],"[put, lift up, maneuver]",[NONE]
Tuck r arm under,15:53:37,8,c8_s0_0-21-18.avi,[right hand],[Tuck],[NONE]
watch...what are you doing?,15:53:47,8,c8_s0_0-21-28.avi,[NONE],[watch],[NONE]
change your instrument,15:54:30,8,c8_s0_0-22-11.avi,[instrument],[change],[NONE]
so you dropped all the colon and lifted ureter?,15:54:33,8,c8_s0_0-22-14.avi,[NONE],[NONE],"[colon, ureter]"
ok i think thats good,15:54:37,8,c8_s0_0-22-18.avi,[NONE],[NONE],[NONE]
so what does he have on the R side?,15:57:25,8,c8_s0_0-25-6.avi,[NONE],[NONE],[NONE]
yeah i dont think is appropraite for a partial,15:57:56,8,c8_s0_0-25-37.avi,[NONE],[NONE],[NONE]
go slow,15:59:36,8,c8_s0_0-27-17.avi,[NONE],[go slow],[NONE]
bipolar that,15:59:49,8,c8_s0_0-27-30.avi,[bipolar],[bipolar that],[NONE]
keep the jaws open a little bit,15:59:53,8,c8_s0_0-27-34.avi,[graspers],[keep open],[NONE]
create some more of that plane posteriorly,16:00:37,8,c8_s0_0-28-18.avi,[NONE],[create more],[NONE]
"drop the psoas sheets down, stay above psoas sheets",16:00:44,8,c8_s0_0-28-25.avi,[NONE],"[drop, stay]",[psoas sheets]
advance your 4th arm in there and lift up,16:01:01,8,c8_s0_0-28-42.avi,[4th arm],"[advance, lift up]",[NONE]
one layer at a time,16:01:21,8,c8_s0_0-29-2.avi,[NONE],[NONE],[NONE]
"yeah, this way",16:01:25,8,c8_s0_0-29-6.avi,[NONE],[NONE],[NONE]
this is better,16:01:28,8,c8_s0_0-29-9.avi,[NONE],[NONE],[NONE]
easy...this is a vein,16:01:45,8,c8_s0_0-29-26.avi,[NONE],[NONE],[vein]
I want you to pull away from the vital structureswhen buzzing,16:02:10,8,c8_s0_0-29-51.avi,[NONE],[pull away],[vital structures]
yeah esp when youre working near the hilum,16:02:15,8,c8_s0_0-29-56.avi,[NONE],[NONE],[NONE]
we dont really need to go into aortalcaval,16:03:12,8,c8_s0_0-30-53.avi,[NONE],[NONE],[NONE]
yeah so start from below and work your way up,16:03:17,8,c8_s0_0-30-58.avi,[NONE],"[start, work]",[NONE]
"no below here, right here, this bend",16:03:20,8,c8_s0_0-31-1.avi,[NONE],[NONE],[NONE]
clean your hook,16:04:04,8,c8_s0_0-31-45.avi,[hook],[clean],[NONE]
start at this bend,16:04:11,8,c8_s0_0-31-52.avi,[NONE],[start],[NONE]
cook it,16:04:20,8,c8_s0_0-32-1.avi,[NONE],[cook],[NONE]
mmhm,16:04:32,8,c8_s0_0-32-13.avi,[NONE],[NONE],[NONE]
clean your hook,16:06:25,8,c8_s0_0-34-6.avi,[hook],[clean],[NONE]
"one strand at a time, up and down, every vessel",16:06:32,8,c8_s0_0-34-13.avi,[NONE],[NONE],[vessel]
ok good,16:06:43,8,c8_s0_0-34-24.avi,[NONE],[NONE],[NONE]
now cut in the middle,16:06:44,8,c8_s0_0-34-25.avi,[NONE],[cut],[NONE]
"ok wait for a sec, we dont need to do that, release that",16:07:58,8,c8_s0_0-35-39.avi,[NONE],"[wait, release]",[NONE]
ok stop for a second...(discusses next portion of case),16:08:22,8,c8_s0_0-36-3.avi,[NONE],[stop],[NONE]
dont go there yet..stop for a sec,16:09:22,8,c8_s0_0-37-3.avi,[NONE],[stop],[NONE]
"ok free up the rest, we dont need to take adrenal, hug surface and keep a lot of fat on kidney",16:17:41,8,c8_s0_0-45-22.avi,[NONE],"[free up, hug, keep]","[adrenal, surface, fat, kidney]"
*responding to resident* let me see,16:19:11,8,c8_s0_0-46-52.avi,[NONE],[NONE],[NONE]
what did you do?,16:19:15,8,c8_s0_0-46-56.avi,[NONE],[NONE],[NONE]
let me see,16:19:20,8,c8_s0_0-47-1.avi,[NONE],[NONE],[NONE]
ok grab it,16:19:24,8,c8_s0_0-47-5.avi,[NONE],[grab],[NONE]
Dont get into pancreas,16:24:08,8,c8_s0_0-51-49.avi,[NONE],[do not get into],[pancreas]
yeah im fine with that,16:24:17,8,c8_s0_0-51-58.avi,[NONE],[NONE],[NONE]
if he has plenty of adipose tissue,16:24:23,8,c8_s0_0-52-4.avi,[NONE],[NONE],[adipose tissue]
don't get into the adrenal gland,16:26:38,8,c8_s0_0-54-19.avi,[NONE],[avoid],[adrenal gland]
here let me see,16:27:27,8,c8_s0_0-55-8.avi,[NONE],[NONE],[NONE]
start from below and work your way up,16:39:47,8,c8_s0_1-7-28.avi,[NONE],"[start, work]",[NONE]
"even below the lower pole, like almost from the pelvic brim, that way you can rotate the kidney nicely",16:39:53,8,c8_s0_1-7-34.avi,[NONE],[NONE],"[pelvic brim, kidney]"
ok start a little higher,16:40:12,8,c8_s0_1-7-53.avi,[NONE],[start higher],[NONE]
later,16:40:20,8,c8_s0_1-8-1.avi,[NONE],[NONE],[NONE]
start somewhere there,16:40:23,8,c8_s0_1-8-4.avi,[NONE],[start],[NONE]
the point of excision is good on the ureter because right now you have two points of excision.,16:40:29,8,c8_s0_1-8-10.avi,[NONE],[NONE],[ureter]
get to the psoas and then work youre way,16:41:30,8,c8_s0_1-9-11.avi,[NONE],"[get, work]",[psoas]
remain in the correct fat plane so youre not getting the abd wall fat; You're between the abdominal wall fat and the kidney,16:41:34,8,c8_s0_1-9-15.avi,[NONE],[remain],"[fat plane, abdominal wall fat, kidney]"
see I think you are getting some,16:41:47,8,c8_s0_1-9-28.avi,[NONE],[NONE],[NONE]
"its ok, make the correction",16:41:56,8,c8_s0_1-9-37.avi,[NONE],[make correction],[NONE]
be careful dont hit diaphragm w the hook,16:43:24,8,c8_s0_1-11-5.avi,[hook],"[be careful, don't hit]",[diaphragm]
be gentle dont poke the tumor,16:46:01,8,c8_s0_1-13-42.avi,[NONE],"[be gentle, don't poke]",[tumor]
let me see,16:46:10,8,c8_s0_1-13-51.avi,[NONE],[NONE],[NONE]
"stay in the flimflam, dont get in body wall",16:52:20,8,c8_s0_1-20-1.avi,[NONE],"[stay, don't get]","[NONE, body wall]"
"stay close to kidney, right there yeah get to correct plane",16:52:26,8,c8_s0_1-20-7.avi,[NONE],"[stay close, get to correct plane]",[kidney]
"find the correct plane here, right there, and work your way up",16:52:46,8,c8_s0_1-20-27.avi,[NONE],"[find, work]",[NONE]
now youre talking,16:52:54,8,c8_s0_1-20-35.avi,[NONE],[NONE],[NONE]
get into that spot right there,16:52:56,8,c8_s0_1-20-37.avi,[NONE],[get into],[NONE]
now youre talking,16:52:57,8,c8_s0_1-20-38.avi,[NONE],[NONE],[NONE]
something is hitting R arm,16:53:08,8,c8_s0_1-20-49.avi,[right hand],[NONE],[NONE]
"release all this, get into the right plane",16:53:16,8,c8_s0_1-20-57.avi,[NONE],"[release, get into]",[NONE]
ok i think take the ureter and then you lift up and go to upper pole,16:54:58,8,c8_s0_1-22-39.avi,[NONE],"[take, lift up, go]","[ureter, upper pole]"
staple across the ureter and whole shebang,16:55:05,8,c8_s0_1-22-46.avi,[stapler],[staple],[ureter]
you can go a little higher,16:56:03,8,c8_s0_1-23-44.avi,[NONE],[go higher],[NONE]
ok hows it going,16:57:56,8,c8_s0_1-25-37.avi,[NONE],[NONE],[NONE]
easy easy let me see,16:58:02,8,c8_s0_1-25-43.avi,[NONE],[NONE],[NONE]
"Then we're going to not change the position, extract in this position, then close it, and then we'll take another look inside.",16:59:39,8,c8_s0_1-27-20.avi,[NONE],"[extract, close, take another look]",[NONE]
go along the psoas all the way toward the spleen,16:59:50,8,c8_s0_1-27-31.avi,[NONE],[go along],"[psoas, spleen]"
drop it from the pale end first and fill it,17:00:02,8,c8_s0_1-27-43.avi,[NONE],"[drop, fill]",[NONE]
easy essy,17:01:02,8,c8_s0_1-28-43.avi,[NONE],[NONE],[NONE]
is it fitting,17:01:46,8,c8_s0_1-29-27.avi,[NONE],[NONE],[NONE]
dont rip the tumor,17:02:05,8,c8_s0_1-29-46.avi,[NONE],[rip],[NONE]
easy,17:02:19,8,c8_s0_1-30-0.avi,[NONE],[NONE],[NONE]
12.1?,13:37:00,9,c9_s0_0-6-9.avi,[NONE],[NONE],[NONE]
yeah lets go for it,16:13:52,9,c9_s0_0-11-28.avi,[NONE],[NONE],[NONE]
typically i do 2 stitches,16:19:11,9,c9_s0_0-11-35.avi,[stitches],[NONE],[NONE]
